#Format:        
#Parameter MagSys|Instrument|Band RestLamb Phase dmu/dP dmB/dP ds/dP dc/dP
Zeropoint VEGAHST|ACSWF|F850LP 4146.254212300681 All -0.3882258219288615 0.6318680412379365 -1.027400808219556 0.2864299519350876
Zeropoint VEGAHST|NICMOS2|F160W 7378.286188818868 All 0.5272520048877679 -0.029493823072016312 0.5116761880993461 -0.15851667432904684
Zeropoint VEGAHST|NICMOS2|F110W_faint 5299.0628159447315 All 1.1084109841812326 0.010336549477742096 0.4555489287755703 -0.3373499125280904
Zeropoint VEGAHST|ACSWF|F775W 3530.027391926622 All -0.6235771026178586 -0.03284663571725943 0.4905458696131244 0.21431115668977108
Check All|All|All All All 0.6238600645222805 0.5798641319264028 0.4303701782684848 0.004874521767721435
