#Format:      
#Parameter    MagSys|Instrument|Band         RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     VEGAHST|ACSWF|F850LP           4146.254212300681     All      0.2388941837570533         1.3732304739331624        -5.22767180592177         0.136203665395709         
Zeropoint     VEGAHST|NICMOS2|F160W          7378.286188818868     All      0.36125736398434705        -0.20226778823762004      1.5316877543281908        -0.11520649181726546      
Zeropoint     VEGAHST|NICMOS2|F110W_faint    5299.0628159447315    All      1.4788318192203982         0.2058558518829301        0.6350238519500155        -0.38631195427371856      
Zeropoint     VEGAHST|ACSWF|F775W            3530.027391926622     All      -1.0699564747036527        -0.3996828341534808       3.1561809131997416        0.3591760344164615        
Check         All|All|All                    All                   All      1.0090268922581456         0.9771357034249917        0.095220713556178         -0.0061387462788135005    
Lambda        VEGAHST|ACSWF|F850LP           4146.254212300681     All      -0.0002104683278917767     0.00041754178739394817    -0.004115971648049707     2.088664478922312e-05     
Lambda        VEGAHST|NICMOS2|F160W          7378.286188818868     All      -0.00015179591628855952    8.34160491783602e-05      -0.0006421935050032715    4.7958128756179645e-05    
Lambda        VEGAHST|NICMOS2|F110W_faint    5299.0628159447315    All      0.0005700282742420077      6.90447243742016e-05      0.0002935504969087405     -0.0001500870136128041    
Lambda        VEGAHST|ACSWF|F775W            3530.027391926622     All      -0.002542100614742589      -0.0007564153122539639    0.005669782627933907      0.0008346728086369938     
MWEBV         All|All|All                    All                   All      -0.10160975498883862       -1.3279054549695246       0.2000556387474574        -0.39051728907892         
Redshift      All|All|All                    All                   All      5.281323086692751          -1.06900863145718         1.222366640351465         -2.013963351277453        
