#Date  :
#Flux  :
#Fluxerr  :
#ZP  :
#end  :
@INSTRUMENT  NICMOS2
@BAND  F110W_faint
@MAGSYS  VEGAHST
53439.89999999991  0.2779713267759296  0.012800996555021725  22.92
