#Date  :
#Flux  :
#Fluxerr  :
#ZP  :
#end  :
@INSTRUMENT  NICMOS2
@BAND  F160W
@MAGSYS  VEGAHST
53440.0  0.2754228703338161  0.020293818101084375  22.11
