#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_z                6842.546245666184    All      0.5997280049618104         0.08429729372707584       2.7326467184578984        -0.045947267363518736     
Zeropoint     AB|PS|PS_r                4915.680952994121    All      0.1351845270739565         0.4359217849451369        -1.2148393669740631       0.04374731745789371       
Zeropoint     AB|PS|PS_i                5953.954256040455    All      0.9850682293553523         -0.019344481090044496     -2.5675947521925258       -0.4417502252429228       
Zeropoint     AB|PS|PS_g                3870.821832506266    All      -0.7195397875128351        0.49952013094003433       1.1038878764767945        0.44634936727367763       
Check         All|All|All               All                  All      1.0004409738782845         1.0003947285222026        0.05410047576810406       0.00239919212512979       
Lambda        AB|PS|PS_z                6842.546245666184    All      -0.00047178627110533845    -7.384640430563479e-05    -0.0023362887237006356    2.536427089665036e-05     
Lambda        AB|PS|PS_r                4915.680952994121    All      -5.1813548663731486e-05    -3.149299594291595e-05    -8.350261586509493e-05    2.8927343150806294e-06    
Lambda        AB|PS|PS_i                5953.954256040455    All      -0.00019819944053085732    5.068361341400538e-06     0.0005904512608578277     9.256013830937468e-05     
Lambda        AB|PS|PS_g                3870.821832506266    All      -0.0009431381901944195     0.00039100936909379383    -0.0020354512552794813    0.0003437429111774998     
MWEBV         All|All|All               All                  All      -0.4782318684410254        -2.995251783741004        0.3651378993249965        -0.8035817664796269       
Redshift      All|All|All               All                  All      4.655281396489484          0.7660784004926313        14.733629871508102        -0.6093471347232061       
