#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_z                6842.546245666184    All      0.6331939487738563         0.07609765171672223        2.5334181725783993        -0.06840977440191963      
Zeropoint     AB|PS|PS_r                4915.680952994121    All      0.17534670884796263        0.4534866389040104         -0.37018681081563765      0.07407958859097898       
Zeropoint     AB|PS|PS_i                5953.954256040455    All      1.0083149605628243         -0.027515085845841725      -2.569334525172225        -0.4520615232434074       
Zeropoint     AB|PS|PS_g                3870.821832506266    All      -0.8181169780333014        0.4975442660237306         0.43506348395884853       0.44796903627341833       
Check         All|All|All               All                  All      0.9987386401513418         0.9996134707986215         0.028960320549385354      0.0015773272190702237     
Lambda        AB|PS|PS_z                6842.546245666184    All      -0.0004085135858759976     -4.097580269337412e-05     -0.0014121990774982763    5.6699188783504766e-05    
Lambda        AB|PS|PS_r                4915.680952994121    All      -2.9072935726305422e-05    -4.8519634006430615e-05    -0.000408299132324819     -2.4554944432777e-05      
Lambda        AB|PS|PS_i                5953.954256040455    All      -0.00014549645386064465    3.8386246613043215e-06     0.0003749528771559368     6.537577286394538e-05     
Lambda        AB|PS|PS_g                3870.821832506266    All      -0.001043789090513782      0.00043355784633318663     -0.0021451771953988124    0.00038549109481346303    
MWEBV         All|All|All               All                  All      -0.4848932152330696        -2.999087505466491         0.2719428832034948        -0.8068202329754212       
Redshift      All|All|All               All                  All      3.7301828623613726         0.7229894735719            13.057201022804382        -0.3968589083600235       
