#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    5944.70311454057      All      0.4032396387713668         0.013530868677236185      0.05426554098289639        -0.12451934559591982       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5094.9461504410165    All      0.21376813235641276        0.35190199385173315       0.04681957227678078        0.047084085634279925       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u              3408.463932191781     All      -0.13795717324942658       0.04770203079091928       0.09993109779487083        0.06493477668998149        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7237.618701414246     All      0.21989248325215524        -0.04760845596303298      0.18759358440888085        -0.0787624163358865        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r              5897.773202071715     All      0.7576570663887786         0.023306400711220476      -0.38976325602244094       -0.25659551522887053       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B              4170.782271169695     All      -0.39514344945561963       0.238150663446568         -0.08097060661608198       0.20267138104097213        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5147.376177535404     All      0.05019557708465364        0.07308613429701794       -0.03882948760467103       0.0057234258666203144      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i              7210.930820313061     All      0.36412993035680713        -0.07677511162773598      0.29593850134752686        -0.1304109014006293        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g              4556.18891998438      All      -0.28787018017747246       0.2546163141515123        -0.19839311700928738       0.16785232485300078        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4157.895364901685     All      -0.19224660369218838       0.11824396426298733       0.028088539062751793       0.10239045531165235        
Check         All|All|All                                All                   All      0.9956654216354672         0.9961548025984257        0.0046803686212262205      0.0003682708352007874      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    5944.70311454057      All      -8.271234850328282e-05     1.0811789701719182e-05    -0.0001552802308410417     2.3534445139993254e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5094.9461504410165    All      4.421083791554462e-06      4.9670428425471576e-05    -0.0005848375419077994     -1.1359413227182868e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_u              3408.463932191781     All      -0.00041997577074265617    0.0001313460539996744     0.0002170682505032268      0.0001892704153294048      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7237.618701414246     All      -0.00011478466928092296    2.2455769946942284e-05    -0.00025655201946490116    3.32549878049426e-05       
Lambda        Linear_AB11_off|SWOPE|SWOPE_r              5897.773202071715     All      -0.00020350275375284296    5.7963960133931874e-05    -0.0007167268704627734     5.318408229100159e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_B              4170.782271169695     All      -0.0002595087614846057     0.00010053863636306594    -0.00033332524290773785    0.00010240450800303309     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5147.376177535404     All      3.170458026793982e-06      1.4770785730473373e-05    -0.00011517324474010545    -1.3610445686368263e-06    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i              7210.930820313061     All      -0.0002297666669626306     4.951049022230704e-05     -0.0008945108001787003     5.105184936822661e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_g              4556.18891998438      All      -0.00011033692249307617    3.5296906080961524e-05    -0.000514117709822483      2.4495017045067596e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4157.895364901685     All      -0.00011548753119966244    5.789723347263674e-05     -4.402951330826658e-05     5.451228708438654e-05      
MWEBV         All|All|All                                All                   All      -0.8929751385189011        -3.8080693563094847       0.12176980058019385        -0.9441080635541033        
Redshift      All|All|All                                All                   All      9.34450022320279           -1.1844865393339177       15.247091024656124         -2.74922973685955          
