#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            7980.806325557929     All      0.2482351747073528         -0.0015932554010333888    1.5319973577301145        -0.013011332931387776     
Zeropoint     AB|SDSS|SDSS_r            5535.425617693444     All      0.5421181860836445         0.3053255282857492        -1.769470232555667        -0.15609448848795496      
Zeropoint     AB|SDSS|SDSS_u            3221.5606669604927    All      0.0391993436616872         0.1010465304805308        2.3229548642104776        0.12380847010282706       
Zeropoint     AB|SDSS|SDSS_g            4236.183624044804     All      -0.9191964781835898        0.5997178377963763        -4.341655156985577        0.3010122343560072        
Zeropoint     AB|SDSS|SDSS_i            6712.671055317737     All      1.1224548379763972         0.024619710121243088      2.3278088752425057        -0.25372159998271365      
Check         All|All|All               All                   All      1.032811064245492          1.029116351282866         0.07163570764185367       0.0019932830567778725     
Lambda        AB|SDSS|SDSS_z            7980.806325557929     All      -6.723896969233748e-05     3.582999945065722e-06     -0.000433477125029502     3.724952282853886e-06     
Lambda        AB|SDSS|SDSS_r            5535.425617693444     All      2.08877755495474e-05       6.0967175483998265e-05    0.0001393707359604494     1.9274654971020337e-05    
Lambda        AB|SDSS|SDSS_u            3221.5606669604927    All      3.144823026865999e-05      8.38297244328045e-05      0.0022092199049282882     0.00011564971372616286    
Lambda        AB|SDSS|SDSS_g            4236.183624044804     All      -0.000350128610084539      0.00021073660960270823    -0.0016203611401693196    0.00011038297833356692    
Lambda        AB|SDSS|SDSS_i            6712.671055317737     All      -0.00024195869261026598    -9.59158136506752e-06     -0.0004783697782469024    5.434216665321591e-05     
MWEBV         All|All|All               All                   All      -0.5564510297522918        -3.451772227723282        3.369230479690123         -0.7927480854245744       
Redshift      All|All|All               All                   All      0.7195205163109186         -1.805673909665373        -15.250112814966792       -1.5030813946666914       
