#Format:      
#Parameter    MagSys|Instrument|Band       RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     VEGAHST|ACSWF|F775W          3771.102433326489    All      -3.123001847163858         0.11472231012494838       -0.4229294092182867       1.035759878900945         
Zeropoint     VEGAHST|ACSWF|F850LP_3pix    4392.072378405488    All      2.49602225458896           0.7044687593313892        0.5266438214149183        -0.5600662188025171       
Zeropoint     ST|NICMOS2|F110W_faint       5660.950032643396    All      1.6632218705432125         0.1857940101208655        -0.2786785229330846       -0.49368300262676856      
Check         All|All|All                  All                  All      1.0362422779683147         1.004985079577203         -0.17496411073645302      -0.017989342528340613     
Lambda        VEGAHST|ACSWF|F775W          3771.102433326489    All      -0.0058260941168456195     -5.348650998755813e-05    -0.0005504338040674433    0.0018557648780784437     
Lambda        VEGAHST|ACSWF|F850LP_3pix    4392.072378405488    All      -0.00026250232517136245    -0.0002970052577014806    -0.002551288966022099     -0.0001250910491449986    
Lambda        ST|NICMOS2|F110W_faint       5660.950032643396    All      -0.0008992229121968853     -9.532708938628295e-05    0.00033373898571847926    0.000276748555001314      
MWEBV         All|All|All                  All                  All      -0.04589764876876279       -1.4464585427917953       -0.14546290271848505      -0.4627001015294674       
Redshift      All|All|All                  All                  All      8.889296507531322          1.7736754274176647        -9.459405477136507        -2.739921703739856        
