#Format:      
#Parameter    MagSys|Instrument|Band       RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     VEGAHST|ACSWF|F775W          3771.102433326489    All      -2.2616476711122226       0.1953750730349313         -0.20619557768609303      0.7911315798059152        
Zeropoint     VEGAHST|ACSWF|F850LP_3pix    4392.072378405488    All      1.900258558307112         0.6516534340553548         0.27605127129578405       -0.3943928664769495       
Zeropoint     ST|NICMOS2|F110W_faint       5660.950032643396    All      1.370102810695571         0.15272347082149196        -0.09281810025249408      -0.40068254710380163      
Check         All|All|All                  All                  All      1.0087136978904603        0.9997519779117781         -0.022962406642803065     -0.003943833774835925     
Lambda        VEGAHST|ACSWF|F775W          3771.102433326489    All      -0.004194166220618637     0.00025928013608517744     0.0004019894322772355     0.0014685729345035167     
Lambda        VEGAHST|ACSWF|F850LP_3pix    4392.072378405488    All      -0.0003721340450127783    -0.00015805283046503894    -0.0027605057341852264    -5.345539773147772e-05    
Lambda        ST|NICMOS2|F110W_faint       5660.950032643396    All      -0.0006531879497945496    -7.079092844810624e-05     3.266374912853728e-05     0.00019116350324985439    
MWEBV         All|All|All                  All                  All      -0.04779467799363135      -1.447263492827311         -0.023084153153090158     -0.4568831738813202       
Redshift      All|All|All                  All                  All      8.373069912376508         0.9951161440371337         -1.6348145890621244       -2.4761965364954026       
