#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|MEGACAMPSF|z           4850.366292344787     All      0.9146976088204164        0.21694182002942597        -0.38293437848926903      -0.24437061845082095      
Zeropoint     AB|MEGACAMPSF|r           3443.6221282150304    All      -1.7166834566981244       -0.020344785478343397      -0.3558049654328186       0.5366753716467377        
Zeropoint     AB|MEGACAMPSF|i           4204.83189005215      All      1.8030540785901756        0.802774996184219          0.7423722755503799        -0.2926951402786823       
Check         All|All|All               All                   All      1.0010682307124679        0.9993720307353016         0.0036329316282922575     -0.0003903870827655642    
Lambda        AB|MEGACAMPSF|z           4850.366292344787     All      -0.000232987742911285     -5.616301918767607e-05     -0.0008154430062593882    2.1208153702303825e-05    
Lambda        AB|MEGACAMPSF|r           3443.6221282150304    All      -0.0020356799212392094    -2.6037231246575896e-05    -0.001366042486840363     0.0005936465372298059     
Lambda        AB|MEGACAMPSF|i           4204.83189005215      All      0.0001236133498853107     5.397296927957679e-05      -0.0017459726906654102    -0.0001005989052856336    
MWEBV         All|All|All               All                   All      -0.42648667376872806      -1.7782218872866906        -0.06362352163681338      -0.4431438553687968       
Redshift      All|All|All               All                   All      0.6508930339144592        -0.5090309539056648        1.236185814626891         -0.32266010788802607      
