#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6392.453704304319    All      0.8168962002733797         -0.5166393636166333       -2.2348461060223075        -0.5341073226107718       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4283.221175896361    All      -1.2486105871804254        0.21702718911864594       0.31705627440746165        0.4915552071312357        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5258.8359102452      All      0.8839514712455632         1.5641966605326019        0.0065757108391381845      0.2218716813263846        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7668.950136805059    All      0.5148443555825146         -0.2762651151769546       1.7458315468313956         -0.17978193773406126      
Check         All|All|All                                      All                  All      0.9670814399210322         0.9883193708576599        -0.165382573944312         -0.0004623718872127369    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6392.453704304319    All      -0.0003582783578799847     0.00016441954662681772    -0.0007872804479345074     0.0001351271932051384     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4283.221175896361    All      -0.0004402946892993081     4.2043023505184714e-05    -9.247517893488371e-05     0.00015298651898710546    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5258.8359102452      All      0.00023245647912084076     0.00040495576913568047    -3.0499106445806224e-05    5.482765877256165e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7668.950136805059    All      -0.00014495908620975714    8.318126232874262e-05     -0.0005530555867524689     4.963248636918942e-05     
MWEBV         All|All|All                                      All                  All      -0.7980849545240547        -3.9989392569297344       0.2855296218890677         -1.0298816756374194       
Redshift      All|All|All                                      All                  All      4.639946951339057          -1.841125943558275        0.3996249675328453         -2.093265235943105        
