#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6392.453704304319    All      0.7048004089697604         -0.7569129804808838        -1.6271856304083343        -0.5487419611780411       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4283.221175896361    All      -1.2490304852452727        -0.018697187151417438      0.6609834457325325         0.43025668734827766       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5258.8359102452      All      1.0199658062056631         2.0441285732797354         -0.8102457190520163        0.29744596207294666       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7668.950136805059    All      0.45075387763829705        -0.3509201348730784        1.5839823627054272         -0.19044574228688338      
Check         All|All|All                                      All                  All      0.9264896075684477         0.9175982707743557         -0.19246554102239077       -0.01148505404370015      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6392.453704304319    All      -0.0002874676456707079     0.0001601093579020255      -0.0003519616087274428     0.00013008412481337907    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4283.221175896361    All      -0.00042880793638893375    -3.2060403577158496e-05    0.00017642453870412412     0.00013710674091669064    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5258.8359102452      All      0.00019934321527737366     0.0005303641757911057      -0.00010062156930085435    0.00010333413860570523    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7668.950136805059    All      -0.0001546208989094818     9.129139606495577e-05      -0.0006579077133329612     5.0742325162156955e-05    
MWEBV         All|All|All                                      All                  All      -0.8048470481711552        -4.015005266367844         0.2840008514114478         -1.032980489105316        
Redshift      All|All|All                                      All                  All      4.293469016007581          -2.0759302837380034        -6.0179430017359365        -2.343276055694921        
