#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r              6094.134340709081     All      0.47286101909801564        -0.04981757967401634       -0.15425746756416725       -0.1771374175336557        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7478.588810053481     All      0.14975627824204255        -0.020571330499219442      0.050218654457022394       -0.053240277876433206      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6142.626743075868     All      0.3897452395999127         -0.009650842643349478      0.07174681613802969        -0.12689471284441436       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V             5277.214070607064     All      0.14601514210445038        0.10662159799581516        0.005694453784675646       -0.012577656006558524      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i              7451.012379572506     All      0.16152746612460492        -0.02963457984437312       0.0021207529973699124      -0.06217312795059882       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B              4309.644775324269     All      -0.29921871256809857       0.17361497703509698        -0.1407703530361265        0.14773555414894016        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5264.577872977453     All      0.18348861073951106        0.10202897372035835        -0.09043457942060629       -0.030569763648135434      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R             6238.2802201848335    All      0.23658591195545717        -0.010780795147358191      -0.01824893042058906       -0.08138984057668927       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u              3521.945721978894     All      -0.11382807912987332       0.04655805923219347        -0.03616781674461583       0.05062903826320991        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4296.32881091828      All      -0.2147543748591751        0.19634562584922577        0.2256772035001936         0.1439797321133314         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g              4707.883197387386     All      -0.23627218389404905       0.2248998252739831         -0.13605091729083502       0.14414756791504488        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5318.753511418074     All      0.2302898105470439         0.13625086924280438        0.22367966583878574        -0.020649780809226664      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I             7729.370942377318     All      0.09539864300486145        -0.012868151315093002      0.03424568642892284        -0.03373782908117004       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B             4363.470489851343     All      -0.19734939991634776       0.14125589816718076        -0.028218483475339617      0.10903562405452996        
Check         All|All|All                                All                   All      1.0042453710483559         0.9942525473932484         0.009234685192720249       -0.0028428898318257068     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r              6094.134340709081     All      -0.00011326633982883344    -1.7165852343450366e-05    -0.00033748307679478263    1.6242770672474874e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7478.588810053481     All      -5.305082299501158e-05     4.130842094842646e-07      -7.602702266184031e-05     1.4022216644893721e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6142.626743075868     All      -9.262415310234006e-05     -6.57530566805962e-06      -0.00011195527904135417    2.3032890620721475e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V             5277.214070607064     All      2.4814510969899333e-05     9.60869700528906e-06       -0.00012264933300172533    -1.0426310288549396e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i              7451.012379572506     All      -3.2302822543157064e-05    -9.722907282285314e-06     -0.00013921294827214234    1.1425867581720687e-06     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B              4309.644775324269     All      -0.0001713404142990486     5.9740762939855864e-05     -0.0002819219534298277     6.268985981075507e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5264.577872977453     All      2.383879047049204e-05      -2.3574717525785183e-06    -0.0006573705707028213     -3.786841381412283e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R             6238.2802201848335    All      -5.638808422522795e-05     -2.3703720688763624e-06    -3.0897931254780896e-05    1.621651321643212e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_u              3521.945721978894     All      -0.00029734746692134317    0.00010714800125185425     -0.00013943918603684892    0.0001255349510378336      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4296.32881091828      All      -6.786121316220512e-05     2.8622244600462465e-05     -8.358090200593237e-05     2.769800462145109e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_g              4707.883197387386     All      -0.00010118417543972171    7.320781184715164e-06      -0.0003954823481801311     1.7695073265068053e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5318.753511418074     All      3.435495316694697e-05      -6.567517859902409e-06     -0.0002701321087942482     -2.5384550466339218e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I             7729.370942377318     All      -1.997322001959297e-05     2.83012884985399e-06       -2.775538033680689e-06     7.303941419815214e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B             4363.470489851343     All      -6.94690798731513e-05      1.5409802777383493e-05     -0.0001665722155519432     2.021449157000605e-05      
MWEBV         All|All|All                                All                   All      -0.9422072418194838        -3.9603517570047764        -0.00653316183331365       -0.9834005076079663        
Redshift      All|All|All                                All                   All      5.756050977071454          0.3852427919692758         5.285835663898483          -1.5135663515140347        
