#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4309.374821790321    All      -0.49195602215057266       0.34431464900519515        0.4039561678565562         0.29042757855117785       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6093.752607831456    All      1.277850849419756          -0.08015685052189525       0.12532086941088316        -0.4367552901734073       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4707.588298440302    All      -0.3883364995154362        0.47810550690634557        -0.3921760865518653        0.2647276490437056        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7450.545652677781    All      0.39787851981609473        -0.026603821342252587      0.8400119744545798         -0.10078198718503906      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5264.248103013652    All      0.5185615816282982         0.13860863662440437        -1.1296488145797312        -0.1741742125737189       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3521.72510943573     All      -0.33498504878661656       0.14818231932327564        0.1669093681163858         0.16483190603968634       
Check         All|All|All                              All                  All      0.9790133804115237         1.0024504399950729         0.014373478706808385       0.008275643702404523      
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4309.374821790321    All      -0.00048710676459351335    0.0002716554520715086      -0.00021513788580377157    0.00023755320075241214    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6093.752607831456    All      0.00020058745021844318     -1.4711982567229857e-05    -0.00012732644197690853    -7.581210271547542e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4707.588298440302    All      -0.00039882067810717234    0.00018035115771336823     -0.0027561805794959686     6.565964053081201e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7450.545652677781    All      -7.516872462193985e-05     5.6618415918933414e-06     -0.00018208401360090006    1.82036014171042e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5264.248103013652    All      0.0004458920559936334      0.00011482643952277674     -0.0004992527403551481     -0.0001301183198369746    
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3521.72510943573     All      -0.0006965298247542695     0.00033742266380945297     0.0012842159545998317      0.00039410100141495095    
MWEBV         All|All|All                              All                  All      -0.9995369547850483        -3.9455852957821946        0.1448437734298036         -0.953161154409532        
Redshift      All|All|All                              All                  All      4.999444599320368          -2.319371646057178         12.693705093941142         -1.817517474758179        
