#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4309.374821790321    All      -0.4722197144295258        0.24119261281327908        -0.586682127432514         0.2062009367376386         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6093.752607831456    All      1.11203021625017           -0.030488305379261504      0.008610705523672433       -0.3717716139976184        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4707.588298440302    All      -0.29859015332001326       0.497146598333309          0.36256097378542473        0.2753770700527445         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7450.545652677781    All      0.3246816514881402         -0.022512690791387513      0.3827100612703836         -0.09601402732426229       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5264.248103013652    All      0.6181454173848902         0.19156550182017895        -0.3384279483593668        -0.15405359755372786       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3521.72510943573     All      -0.289911998153496         0.12155549067953686        0.17909101820809334        0.14202050759854778        
Check         All|All|All                              All                  All      0.9941354192201652         0.9984592074756549         0.007862682995693232       0.0017592755133223337      
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4309.374821790321    All      -0.00023558575155368554    3.1217719724525145e-05     -0.0010688642081112584     3.92081676765369e-05       
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6093.752607831456    All      -0.0001680743358116289     5.399014402554446e-06      -6.119281338440187e-05     5.3775223055544066e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4707.588298440302    All      -0.00011811715581139758    -0.00014259645174049642    -0.0018844959622230312     -9.207011164614142e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7450.545652677781    All      -9.995634036417322e-05     7.707678495279774e-06      -0.00012017653217799194    2.9706786303279513e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5264.248103013652    All      0.00020539358938283437     4.3263229775157576e-05     1.1561962035721797e-05     -5.2295234791134505e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3521.72510943573     All      -0.00034722438189237534    0.00014053108393116806     0.0005977788115469256      0.00018555412475748282     
MWEBV         All|All|All                              All                  All      -1.0634030285720866        -3.91758429974578          0.15621438041818733        -0.922729609464626         
Redshift      All|All|All                              All                  All      4.938923376408995          0.8371282616906228         7.896130274801307          -0.983721585365014         
