#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V             5303.5101357350195    All      0.02151566357491777        0.23200692148250823        -0.7693337744462854        0.03423209472587927        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R             6269.365224651507     All      0.45361917447631517        -0.07294739944549988       -0.6240874805704079        -0.19937021457979184       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R             6270.579686080339     All      0.5063184775074325         -0.034742109111807196      0.43588315614495243        -0.15678977010663886       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I             7767.885969241766     All      0.17568149731879618        -0.049014127355295756      0.019929312446301195       -0.07230140354037416       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5345.256565276508     All      0.07537581807823325        0.040105353581409986       -0.17799504366658608       -0.01943185194760442       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4317.737179180669     All      -0.20642195245059008       0.09125115458257227        -0.18960840904029916       0.08850057165949231        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V             5300.427696638147     All      0.17502699301636165        0.2450583477422441         0.635743752791011          0.05118184001897427        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7515.854203456735     All      0.13215049659679234        -0.020689900135906214      0.18331849568407615        -0.04160448300455379       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I             8098.182778436428     All      0.13645973035290387        -0.0346563361972585        0.09902734004036542        -0.051318997056883496      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B             4385.213421377302     All      -0.46229860824518615       0.3243556260447811         -0.2242247640663256        0.24623304287064518        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6173.235111569447     All      0.38944499669266575        -0.057041125755752375      0.14456626771168396        -0.13898389047945192       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B             4352.556085893365     All      -0.40056736447362795       0.33230423072350135        0.4663535682060588         0.2595316071795959         
Check         All|All|All                                All                   All      0.9963049224450142         0.9959906361554971         -0.0004275787654549057     -0.00012145426071152876    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V             5303.5101357350195    All      -4.550419877682129e-05     -2.6107645798096703e-06    -0.0011540545648566435     -3.7528352178615166e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R             6269.365224651507     All      -0.00012873013245315383    -3.010087595823943e-06     -0.00023842603215785846    3.0311295912606926e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R             6270.579686080339     All      -0.0001429400490081261     9.602209337917776e-06      -0.00016594787725089538    4.228254044386685e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I             7767.885969241766     All      -2.033652079129029e-05     8.540709936185895e-06      4.661605719380261e-05      1.1486524613363892e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5345.256565276508     All      1.9832136800740538e-05     1.3743308251148369e-05     -0.00028939574566424375    -1.4897734757522333e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4317.737179180669     All      -0.0001598903483341179     6.534452174247135e-05      -0.0002268490079894109     6.32431778443127e-05       
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V             5300.427696638147     All      4.6741005362260635e-05     5.816559778285832e-05      7.019432121763116e-05      6.85381577440168e-06       
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7515.854203456735     All      -3.575008268585741e-05     6.256396385712477e-06      -5.331200359255477e-05     1.130382233856348e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I             8098.182778436428     All      -9.88103731623311e-06      1.9884937650634557e-06     -2.59558155289212e-05      2.7080079328450692e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B             4385.213421377302     All      -0.00023392125002012797    6.714686740859411e-05      -0.0005665319095597746     7.278607355668826e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6173.235111569447     All      -7.354221461620132e-05     1.1479461331991952e-05     -9.939750414412251e-05     2.325870289265423e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B             4352.556085893365     All      -0.00016321853737263442    5.851663899243972e-05      -0.000246249984684171      6.123743598154486e-05      
MWEBV         All|All|All                                All                   All      -0.8270721113892954        -4.042816049834563         0.05386061201034892        -1.0450700438435994        
Redshift      All|All|All                                All                   All      5.596546754355763          -0.4042202677561946        5.87280455785718           -1.6925709438715062        
