#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    6591.993156671083    All      3.056432183392005         -1.4314312904247117       0.4868351932247889        -1.4401195610244044       
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    5504.791410260777    All      -2.059767838946719        2.436777513270272         -0.4788361603502836       1.443304494543649         
Check         All|All|All                            All                  All      0.9966643444452863        1.00534622284556          0.007999032874505319      0.003184933519244648      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    6591.993156671083    All      -0.0010058155357195475    0.00035732766623819824    -0.0007647119329442734    0.00040989500558448873    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    5504.791410260777    All      -0.0005212158597585407    0.00042419422346429424    -0.0014942656224758988    0.00024126895535623352    
MWEBV         All|All|All                            All                  All      -0.5640480175907867       -3.223888200460756        0.004396722153737534      -0.8662012481872662       
Redshift      All|All|All                            All                  All      10.537271863963904        -3.3768367338479877       13.424473737803572        -3.9332103243429324       
