#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                     dmB/dP                   ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    6591.993156671083    All      3.096813994765224          -1.3731670334543367      0.5963784742495121        -1.4294062466603834       
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    5504.791410260777    All      -2.098517548486731         2.3783510982013922       -0.5872939863372686       1.432055169563491         
Check         All|All|All                            All                  All      0.9982964462784922         1.0051840647470556       0.009084487912243477      0.0026489229031076977     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    6591.993156671083    All      -0.0011015591468713911     0.0003838714440600513    -0.0008429236016273861    0.00044623780374869406    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    5504.791410260777    All      -0.00043305445973911623    0.0003243916676784785    -0.0015782223327197428    0.00017629630874103908    
MWEBV         All|All|All                            All                  All      -0.5653133901714384        -3.223188000811561       0.005099091174845527      -0.8655296531430517       
Redshift      All|All|All                            All                  All      10.662928469319713         -2.8969451640080024      13.876226878423891        -3.797664674587506        
