#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|DECam|DECam_z          6509.290323334697     All      0.805568419200056          0.06648093110790398        0.1528912295921109        -0.23392227675505953       
Zeropoint     AB|DECam|DECam_r          4572.238786657997     All      0.099311120155394          0.5317590582352594         0.9066892473079499        0.181323897381451          
Zeropoint     AB|DECam|DECam_g          3440.1679605004724    All      -0.6011083865633339        0.22382590535183766        -0.40074816899538457      0.25082468819635306        
Zeropoint     AB|DECam|DECam_i          5554.699042196482     All      0.6900650293967064         0.17708239782052715        -0.6525877921338794       -0.19621731566727063       
Check         All|All|All               All                   All      0.9938361821888224         0.9991482925155282         0.006244515770796766      0.0020089931554738982      
Lambda        AB|DECam|DECam_z          6509.290323334697     All      -0.00020775534954276106    -2.137404141363988e-05     -0.0002081137607381504    5.142336251074742e-05      
Lambda        AB|DECam|DECam_r          4572.238786657997     All      -0.0002296476200503067     -0.00024376851811069115    -0.0019647174232366605    -9.227595604032802e-05     
Lambda        AB|DECam|DECam_g          3440.1679605004724    All      -0.0010313047382241398     0.0003062721318862287      -0.0013823738118355971    0.00037400379735794516     
Lambda        AB|DECam|DECam_i          5554.699042196482     All      2.9259473990753364e-05     -5.102264129690965e-06     -0.0004052829478677189    -2.9278665139518512e-05    
MWEBV         All|All|All               All                   All      -0.5042642597604012        -2.5296721468336614        -0.07329911850094777      -0.6630129857680425        
Redshift      All|All|All               All                   All      5.307421992680431          0.30763685566501664        1.15117738001993          -1.577222747867324         
