#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B    4454.230891064923     All      -0.6838235037770857        0.3837675854266642         -0.41243373105933534       0.3293445172796811         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R    6368.0367561769       All      0.9366680321530199         0.11670392081981618        0.681633233028555          -0.23667112651735883       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_I    8225.642540005161     All      0.15851551429893615        -0.15251817077222007       -0.36899021689386613       -0.11778024260117782       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I    7890.142238869495     All      0.3363798668036375         -0.08451812909342493       0.38598811028074886        -0.11987544781387617       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V    5386.9803833281485    All      -0.16825639772826184       0.6898437737196339         0.06018761952161959        0.2821973535251979         
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_R    6365.693469701529     All      0.5651778788582317         -0.38785230039461993       -1.0888287158339927        -0.35902270792251095       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_B    4327.311890232174     All      -0.20851021375989554       0.18375205892833257        -0.23565689219457422       0.11725644249432295        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_V    5341.248334824717     All      0.059574778782847726       0.24982837585350026        0.9813321590937251         0.10576420288810845        
Check         All|All|All                       All                   All      0.9957259556314297         0.9990071144876822         0.003231565942880321       0.0012129913323866565      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B    4454.230891064923     All      -0.00044645923121474957    0.00023652610574092882     -0.0004568580149503488     0.00020208331886237155     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R    6368.0367561769       All      -0.00023807216300811247    -0.00010315208233260482    -0.0005209854545166997     2.069872097938755e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N2_I    8225.642540005161     All      6.762159267881524e-06      -7.34048677063917e-06      -2.014686970736772e-05     -5.4927580418339e-06       
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I    7890.142238869495     All      1.821209955161268e-05      4.768367553655555e-06      9.293762709847884e-05      -2.3168634705717342e-07    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V    5386.9803833281485    All      -0.000175133968448864      2.4206079222482336e-05     -0.0014276144910387967     1.223733680466183e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_N2_R    6365.693469701529     All      -0.00017029490633930027    5.3519706731824396e-05     -0.0002478120116100182     6.184507084057074e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N2_B    4327.311890232174     All      -0.00018628419674690877    0.00016454207446459462     -0.00020981707673349984    0.00010491248589544427     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_V    5341.248334824717     All      -5.991593473802954e-05     4.074104608267894e-05      -0.00037812413932694085    1.591334649280703e-05      
MWEBV         All|All|All                       All                   All      -0.8233128017546654        -4.167862556493329         -0.02537575609225498       -1.0905622909847892        
Redshift      All|All|All                       All                   All      5.840073587880555          -1.6466460554197315        2.0149220004243267         -2.348754178906239         
