#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                    
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4894.046735059177    All      -2.2617100351471073        1.5381262890239           -0.6244898750768072       1.209863586737943        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5860.625804241007    All      3.2593749580020996         -0.5351400432601849       0.6254257890567726        -1.2080884912578198      
Check         All|All|All                            All                  All      0.9976649228549921         1.002986245763715         0.000935913979965397      0.0017750954801232233    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4894.046735059177    All      -0.0005604735283141378     -2.211391341519061e-05    -0.0028360515343651403    4.880148361267849e-05    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5860.625804241007    All      -0.00043168064346407254    8.863861105417594e-05     0.00017624871911357454    0.0001773502700445629    
MWEBV         All|All|All                            All                  All      -0.3890860763192223        -2.7454852466947344       -0.02707170630441584      -0.7687648189378558      
Redshift      All|All|All                            All                  All      0.7141659229627644         1.8323971372186776        7.801600414273514         0.7123942902317215       
