#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4304.5995153645845    All      -1.3732547322017141       0.2742457112359098        0.072484663533956          0.5398797532057902        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5285.083721105299     All      0.9497784243650955        1.4803435179401525        -0.4673750880991756        0.15196570244477847       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6424.359608695753     All      1.0381703291998008        -0.3986917808497914       0.043930378845924434       -0.4660728495595116       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7707.227268117378     All      0.3533261007977263        -0.34967242763856987      0.15177659429328472        -0.22221665635769258      
Check         All|All|All                                      All                   All      0.9680201221609087        1.006225020687701         -0.19918345142601046       0.003555949733364455      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4304.5995153645845    All      -0.0005512520777947277    0.00020540695927945187    -0.0004447195798368903     0.00022662294939300508    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5285.083721105299     All      7.771838946389267e-05     0.0005202481990170395     -0.0017238194585049162     6.722037255308575e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6424.359608695753     All      -0.0003529735540299205    0.00011431724363505181    -0.0009110452116500607     0.00011155622269345734    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7707.227268117378     All      -6.418916291936745e-05    7.611314735337739e-05     -0.00010969962942589115    4.080568763563445e-05     
MWEBV         All|All|All                                      All                   All      -0.8424391058643814       -4.043414001268353        0.015452920036473916       -1.0419732395306107       
Redshift      All|All|All                                      All                   All      4.976019360555824         -2.107634831027294        4.390117325994419          -2.1114684423198318       
