#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4304.5995153645845    All      -1.4090355759802105        0.18908427230188707       -0.26231697712509955       0.5088542092560127        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5285.083721105299     All      1.103684369167094          1.642297794478953         0.04958701926102457        0.17765695340411058       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6424.359608695753     All      0.9525539291148124         -0.47097316114115273      -0.03926961054381363       -0.46544202830634124      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7707.227268117378     All      0.3050508395373583         -0.3752768997773437       0.06100746023656003        -0.21888264405937893      
Check         All|All|All                                      All                   All      0.9522535618390542         0.9851320058623436        -0.19099210817132858       0.0021864902944030706     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4304.5995153645845    All      -0.0005751201772820385     0.00018314786756727785    -0.00040735723340092636    0.00022881436608253729    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5285.083721105299     All      0.00015382035125378982     0.0005982924744388017     -0.001289029362589688      8.725573306521972e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6424.359608695753     All      -0.00032276389335538793    0.00011899803981187038    -0.0007619140913570581     0.00010989566861607209    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7707.227268117378     All      -6.112480713057355e-05     7.628003105659524e-05     -7.01805285514645e-05      4.162544162072253e-05     
MWEBV         All|All|All                                      All                   All      -0.8426918999175208        -4.053272436073385        -0.027326741849678253      -1.047011172569795        
Redshift      All|All|All                                      All                   All      4.518912435441665          -2.69788666823203         3.2145391218927064         -2.2072987765388907       
