#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|CNIa02|SDSS_i                      7400.077300968217     All      0.46209938707255305        -0.08607980674524285      0.29136082239345246       -0.16555790265468823       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4326.0312046083745    All      -1.0393705016649855        0.7638468232164186        0.11629532529932034       0.5925569330447593         
Zeropoint     AB|CNIa02|SDSS_r                      6102.276892034048     All      1.3182604892091332         -0.14222443103877325      0.17590452679875912       -0.4678781759206763        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5412.092633610047     All      0.25541031669993663        0.463288735766465         -0.5827663471996937       0.041706654560316074       
Check         All|All|All                           All                   All      0.9963996913166371         0.9988313211988675        0.0007943272918382593     0.000827509029710842       
Lambda        AB|CNIa02|SDSS_i                      7400.077300968217     All      -0.00014838900603645553    2.8828786439843145e-05    -8.986117233158832e-05    5.371557389800361e-05      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4326.0312046083745    All      -0.000305893846867477      7.63212066020714e-05      -0.0006437948278830811    9.577041109106394e-05      
Lambda        AB|CNIa02|SDSS_r                      6102.276892034048     All      -0.00012630654448866392    -4.623494237149972e-05    -0.0005072125000388374    3.447390753043471e-06      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5412.092633610047     All      -0.00010054514369617327    -7.254863101650218e-05    -0.001488237339398452     -5.7293811992806796e-05    
MWEBV         All|All|All                           All                   All      -0.8973295661677141        -4.037273971287103        0.04987991700980965       -1.0205572822439886        
Redshift      All|All|All                           All                   All      5.73680099159851           -0.38885125986105606      3.8207762842636286        -1.8248227688975402        
