#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|CNIa02|SDSS_i                      7400.077300968217     All      0.43565474780606517        -0.06453800501375895       0.3646628027068388        -0.14665600939706425      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4326.0312046083745    All      -1.0086201231994576        0.7611375700562917         0.26994266281292756       0.5885146052316353        
Zeropoint     AB|CNIa02|SDSS_r                      6102.276892034048     All      1.2735453541927577         -0.13619241328530762       0.10801572862908504       -0.45437772399214355      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5412.092633610047     All      0.2974030596295512         0.4391245916464115         -0.7347416231672121       0.013375221382069119      
Check         All|All|All                           All                   All      0.9979830384289164         0.9995317434036366         0.007879570981639272      0.0008560932244966735     
Lambda        AB|CNIa02|SDSS_i                      7400.077300968217     All      -0.0001795010145902333     3.8349043774213375e-05     -7.543458629627169e-05    6.759463193545846e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4326.0312046083745    All      -0.00020426242368029238    6.537028698023096e-06      -0.000664479214114944     3.901166125230232e-05     
Lambda        AB|CNIa02|SDSS_r                      6102.276892034048     All      -0.00023279851713596463    -4.1562746102265215e-05    -0.0005256345680340422    3.883512547655884e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5412.092633610047     All      -0.00017752096041232768    -7.686932346263684e-05     -0.0015490007815206254    -3.633924108098855e-05    
MWEBV         All|All|All                           All                   All      -0.9042262581983613        -4.0321195532404985        0.06451875138751006       -1.01597857527754         
Redshift      All|All|All                           All                   All      6.143868558505312          0.060929594094538686       4.719410077736219         -1.7708077471533912       
