#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|MEGACAMPSF|g           3103.0299608141354    All      -0.3155809113067093        0.048066581777916895       0.06150635074722503        0.12119669809022672       
Zeropoint     AB|MEGACAMPSF|z           5570.766918720165     All      0.9512990467532778         0.086260066852617          0.187581114651205          -0.27340077107278365      
Zeropoint     AB|MEGACAMPSF|i           4836.493701405553     All      1.4475744091104263         0.5033321591328743         0.10457454299939903        -0.3029040839044411       
Zeropoint     AB|MEGACAMPSF|r           3955.400132116189     All      -1.0966790254780212        0.36210871672874845        -0.3462724078902979        0.4597226131354394        
Check         All|All|All               All                   All      0.9866135190789735         0.9997675244921567         0.007389600507531124       0.004614456248441312      
Lambda        AB|MEGACAMPSF|g           3103.0299608141354    All      -0.0009246672604161482     0.00013318140012490127     5.732903610176627e-05      0.000347134442503906      
Lambda        AB|MEGACAMPSF|z           5570.766918720165     All      -9.5080591984006e-05       -1.3840724197331755e-05    -0.00010491507393623794    2.178061975811389e-05     
Lambda        AB|MEGACAMPSF|i           4836.493701405553     All      -0.00021347087608371073    -0.00019134201182701137    -0.0021283262687523652     -8.776932721901456e-05    
Lambda        AB|MEGACAMPSF|r           3955.400132116189     All      -0.0009794485680426359     0.00027601118400687066     -0.0007174560442431525     0.0003769277765433859     
MWEBV         All|All|All               All                   All      -0.3336245144122194        -2.151801333802972         0.0761885483413155         -0.5888400613250788       
Redshift      All|All|All               All                   All      3.1273358575362367         0.46086453234188696        4.013677640010769          -0.6894454359976789       
