#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|MEGACAMPSF|g           3103.0299608141354    All      -0.3639031635968769        0.05614042547463782        0.08935560462934866       0.1408095462233666         
Zeropoint     AB|MEGACAMPSF|z           5570.766918720165     All      0.9676719127957779         0.07445257140368255        0.24069620585982499       -0.28020975934504866       
Zeropoint     AB|MEGACAMPSF|i           4836.493701405553     All      1.571097391031644          0.47116483313160984        -0.207413730799344        -0.3675401430031089        
Zeropoint     AB|MEGACAMPSF|r           3955.400132116189     All      -1.1847738461876274        0.3973175956776487         -0.11956870401692576      0.5100034297768591         
Check         All|All|All               All                   All      0.9900922940429175         0.9990754256875789         0.0030693756729038846     0.003063073652068149       
Lambda        AB|MEGACAMPSF|g           3103.0299608141354    All      -0.0010581053062175974     0.00015279049133955252     0.0002646550333278777     0.00040623893717363813     
Lambda        AB|MEGACAMPSF|z           5570.766918720165     All      2.325870166562076e-05      -3.7668498182787773e-06    -7.865524051761461e-05    -1.2313133366388515e-05    
Lambda        AB|MEGACAMPSF|i           4836.493701405553     All      -0.00012813097900792275    -0.000146013111932864      -0.002713153405452404     -0.00012690037442082106    
Lambda        AB|MEGACAMPSF|r           3955.400132116189     All      -0.0011354399439836922     0.00035141997653923403     -0.0004856960619370013    0.0004626448078298232      
MWEBV         All|All|All               All                   All      -0.2734893744397251        -2.1662711485396002        0.023687574653918908      -0.6154842268313643        
Redshift      All|All|All               All                   All      3.4739149123109305         0.03977786417124207        4.6009818222250365        -0.9132907291514197        
