#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            6550.485794389212     All      0.10735855576892758       0.018984304921332296      0.05394761191321678        -0.02637896678028814       
Zeropoint     AB|SDSS|SDSS_r            4543.366346139738     All      1.3297891952299534        0.6419517103218197        6.522257518177671          0.06700709937531187        
Zeropoint     AB|SDSS|SDSS_i            5509.625794257387     All      0.7657802859473596        0.15817437360965414       -4.046764318444847         -0.37850574070509757       
Zeropoint     AB|SDSS|SDSS_g            3476.9745712116114    All      -1.1962702927835807       0.1826279250323637        -2.4192455629249396        0.341192695666198          
Check         All|All|All               All                   All      1.0066577441626596        1.0017383138851699        0.11019524872110154        0.003315087556124141       
Lambda        AB|SDSS|SDSS_z            6550.485794389212     All      -2.983828096784859e-05    -5.477153162655794e-06    -2.7529743386918985e-05    6.706694775630259e-06      
Lambda        AB|SDSS|SDSS_r            4543.366346139738     All      -0.0004751472481688585    -0.0002245991940395159    -0.0024762714415048686     -2.8892877314926527e-05    
Lambda        AB|SDSS|SDSS_i            5509.625794257387     All      7.767169345452022e-05     1.739729067671284e-05     -6.789372179703709e-05     -2.2663140932899495e-05    
Lambda        AB|SDSS|SDSS_g            3476.9745712116114    All      -0.001830537222149565     0.00019563765708049066    -0.0063520961371702715     0.00037652694085919494     
MWEBV         All|All|All               All                   All      -0.7278618352229671       -2.6756113401006587       -0.5323827518982723        -0.6582038898657182        
Redshift      All|All|All               All                   All      8.513620819300442         1.2895804317892612        25.508693177465524         -1.2147717987616948        
