#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4319.627148789053    All      -0.8360258346833406        0.6761044762694901         0.2698183579149527         0.5045913439697652         
Zeropoint     AB|CNIa02|SDSS_i                      7389.122569977785    All      0.7183040633357716         -0.12641386745055883       0.892936521162202          -0.23530476462120808       
Zeropoint     AB|CNIa02|SDSS_r                      6093.243364536624    All      1.0539714684526558         -0.02267138542855207       -0.20378443663255918       -0.3597919614657552        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5404.080822856565    All      0.05880532416595968        0.47370783711997433        -0.9521422493426357        0.09265766279937249        
Check         All|All|All                           All                  All      0.9950550212710465         1.0007270605103535         0.006828193101959812       0.0021522806821744345      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4319.627148789053    All      -0.0005327263031444281     0.0003272163076666234      -0.00019865553845812794    0.0002712465153232209      
Lambda        AB|CNIa02|SDSS_i                      7389.122569977785    All      0.00012148327064710752     -3.3446004568149046e-05    -9.984618459354645e-05     -5.4921238600837924e-05    
Lambda        AB|CNIa02|SDSS_r                      6093.243364536624    All      0.0002986654818380522      -4.3832763401970405e-05    -0.00028181697810136623    -0.00012413914372635498    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5404.080822856565    All      -0.00017684182838164958    0.00018351533417019483     -0.0014102177398793068     5.444864240663823e-05      
MWEBV         All|All|All                           All                  All      -0.8223353685286798        -4.0515318328662175        0.15007792977566048        -1.0451582371199586        
Redshift      All|All|All                           All                  All      4.850403345155012          -1.8140720757224393        6.140116436861565          -1.8968337032662597        
