#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4319.627148789053    All      -0.9580127865727214       0.7600481134673487        0.33884328732647984        0.5747499773302274         
Zeropoint     AB|CNIa02|SDSS_i                      7389.122569977785    All      0.6252214672214385        -0.14755106045232225      0.6952469067495657         -0.22069175942966457       
Zeropoint     AB|CNIa02|SDSS_r                      6093.243364536624    All      1.1762039515196578        -0.09712941826931498      -0.22258489504974097       -0.42469951153445845       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5404.080822856565    All      0.1540405227489348        0.48232568217407845       -0.80973975167106          0.07079831056879753        
Check         All|All|All                           All                  All      0.9974531549173096        0.9976933169197899        0.001765547355244368       0.00015701693490187407     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4319.627148789053    All      -0.0004821083733203774    0.00023981161792905023    -0.00037194867354701464    0.00021855473061025622     
Lambda        AB|CNIa02|SDSS_i                      7389.122569977785    All      -3.474197615825658e-05    -6.971114605809592e-06    -0.0005404870045068233     -1.5073569402276158e-05    
Lambda        AB|CNIa02|SDSS_r                      6093.243364536624    All      6.920175993501165e-05     -2.009126724843856e-06    -0.0007335497112265561     -5.593068309377645e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5404.080822856565    All      -6.740017790364724e-05    0.00011571735597301947    -0.0013413618419344014     -2.1141318187176148e-07    
MWEBV         All|All|All                           All                  All      -0.8575570862636037       -4.044838859631739        0.108480326428731          -1.0333615533053417        
Redshift      All|All|All                           All                  All      5.705426621883138         -1.290041405793474        8.102030773829696          -1.9170976585218058        
