#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            3564.4286756885062    All      -0.8238227608502449        0.31466787360443504        0.03900183313634287        0.37258432755516574       
Zeropoint     AB|SDSS|SDSS_z            6715.245949318187     All      0.3085621848098148         0.03853616228326473        0.30707369101252713        -0.0742530706377309       
Zeropoint     AB|SDSS|SDSS_r            4657.642716867884     All      0.2898324845997583         0.4402395652281399         -0.6312802922089134        0.020821394330866605      
Zeropoint     AB|SDSS|SDSS_i            5648.205867240685     All      1.2217961058306908         0.2046952629669363         0.28860754131871946        -0.31842397710198367      
Check         All|All|All               All                   All      0.996368014390019          0.998138864082776          0.003402773258676106       0.0007286741463177759     
Lambda        AB|SDSS|SDSS_g            3564.4286756885062    All      -0.002147198558999302      0.0004975142394842509      -0.0023785308198787055     0.0007553270606384919     
Lambda        AB|SDSS|SDSS_z            6715.245949318187     All      -0.00010557638964936329    -2.1696257867105602e-05    -0.00024162206281794303    1.6540035562279966e-05    
Lambda        AB|SDSS|SDSS_r            4657.642716867884     All      -0.00022695306096877311    -3.363185783107603e-05     -0.0005629390499260097     3.784969162795889e-05     
Lambda        AB|SDSS|SDSS_i            5648.205867240685     All      -0.0002554091254869246     -0.00012719513180002869    -0.0008868370914385901     2.188049563455731e-06     
MWEBV         All|All|All               All                   All      -0.5107262441659315        -2.754813294585645         0.262426976606811          -0.719262069910287        
Redshift      All|All|All               All                   All      8.5759992353463            0.11894825587894786        2.515786261633002          -2.642471746457209        
