#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            3564.4286756885062    All      -0.9633055244081277        0.33021589189949907        0.034837333538899846       0.4228971110757186        
Zeropoint     AB|SDSS|SDSS_z            6715.245949318187     All      0.21609209822416997        0.037863771966151205       0.26754667029937956        -0.04611545030195563      
Zeropoint     AB|SDSS|SDSS_r            4657.642716867884     All      0.47403257138167076        0.3953777769474698         -0.4889078875279097        -0.047438167760757204     
Zeropoint     AB|SDSS|SDSS_i            5648.205867240685     All      1.2704248806727934         0.23548368432777522        0.19183309875112128        -0.328553766063881        
Check         All|All|All               All                   All      0.9972440258705065         0.9989411251408953         0.005309215061490985       0.0007897269491247694     
Lambda        AB|SDSS|SDSS_g            3564.4286756885062    All      -0.0019327892773316033     0.00043134626873857397     -0.0016529665513154142     0.0006963124197198585     
Lambda        AB|SDSS|SDSS_z            6715.245949318187     All      -0.00010007581219229978    -1.9584374304350245e-05    -0.00014885915732894828    1.9575808903545154e-05    
Lambda        AB|SDSS|SDSS_r            4657.642716867884     All      -0.0002664378409846875     -0.0001380379600745447     -0.0013003154738303875     -1.620304202104895e-05    
Lambda        AB|SDSS|SDSS_i            5648.205867240685     All      -0.0003713872679942682     -7.322412419981821e-05     -8.073169811462764e-05     9.351886031034072e-05     
MWEBV         All|All|All               All                   All      -0.5585995693946391        -2.7543013505335168        0.163150175420478          -0.7079316635525317       
Redshift      All|All|All               All                   All      8.482462303544384          0.5235370281894802         1.252636826920792          -2.5365843746145784       
