#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7116.08072818225     All      0.7187495658406293        -0.07000926399038931      1.0812517777590427        -0.20867339943909768       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4131.683727644589    All      -0.5107033659696877       0.34012197535115973       0.4790065257481258        0.2985176662372445         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5177.762115907945    All      0.31135874808306796       0.2874212633261486        -0.6651794598800562       -0.03748113054087526       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    5864.20998627216     All      1.1242836260174898        -0.007182763722468621     -0.7743275815065781       -0.40311051088155037       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4448.583544297026    All      -0.6448366641900877       0.44688524799543217       -0.11247058691750779      0.3505906976474988         
Check         All|All|All                      All                  All      0.9988519097814118        0.9972364589598826        0.00828067520302632       -0.00015667697678001247    
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7116.08072818225     All      -0.0003656597424369618    3.456733059478267e-05     -0.0005872844927832119    0.00010415931515323923     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4131.683727644589    All      -0.0002084693098092382    0.0001366759308111201     0.00018956524021876184    0.00012088458584049796     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5177.762115907945    All      0.00014550333671405473    2.0016337544696596e-05    -0.0004699119065327448    -6.184525419034012e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    5864.20998627216     All      -0.0001493688944186761    -3.908643203277499e-06    -0.0004352099614067342    2.795976759044821e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4448.583544297026    All      -0.000351007665166438     2.8748838690615404e-06    -0.0019510820489555194    2.8203357761756798e-05     
MWEBV         All|All|All                      All                  All      -0.7686390920429171       -3.8180206800600303       0.09718021767144223       -0.9889471981094872        
Redshift      All|All|All                      All                  All      5.3298041343316305        0.27834302949161227       5.830900350111779         -1.3852207677116302        
