#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|NB99|NB99_r4     5703.2752295993405    All      0.010899589604306231       -0.0047524708582713515     -0.29497013195641597       -0.018261553270555887      
Zeropoint     Linear_AB11_off|NB99|NB99_i1     6962.635841826199     All      0.17232809024524598        -0.00591501598723454       0.43590943084424805        -0.03860700788495718       
Zeropoint     Linear_AB11_off|NB99|NB99_v8     4711.216813824965     All      0.007927332136631687       0.0021303078682421983      0.03191639146396808        -0.0004639995562950688     
Zeropoint     Linear_AB11_off|NB99|NB99_i10    6917.591173060546     All      0.42582200447589147        -0.0018530062105170941     1.1517774819392237         -0.08790928197418074       
Zeropoint     Linear_AB11_off|NB99|NB99_v4     4798.617663746003     All      0.1132537972773511         0.03377070471408672        0.4299006850690663         -0.0067057650517271345     
Zeropoint     Linear_AB11_off|NB99|NB99_i4     7039.911953938491     All      0.02474720829155724        0.0034501990194613086      0.08238152052619346        -0.0032608276742695204     
Zeropoint     Linear_AB11_off|NB99|NB99_v12    4757.415273935377     All      -0.05520257556722491       -0.006928017539564735      -0.5500559882281779        -0.008821860703452837      
Zeropoint     Linear_AB11_off|NB99|NB99_b1     3726.27894654445      All      -0.24269673941143993       0.05956997230249783        -0.38401453559852833       0.08132140727587601        
Zeropoint     Linear_AB11_off|NB99|NB99_v1     4813.100584622447     All      -0.0236056374577171        -0.006573180617053254      -0.9504449715621893        -0.03686596230076746       
Zeropoint     Linear_AB11_off|NB99|NB99_b12    3868.4011229869266    All      -0.09599232210408885       -9.96255868912499e-05      -0.6054465353863664        0.004217107872724884       
Zeropoint     Linear_AB11_off|NB99|NB99_r12    5725.0834605856535    All      -0.03523905367094329       -0.013941462258770798      -0.5828172958860853        -0.019071132939485733      
Zeropoint     Linear_AB11_off|NB99|NB99_r1     5728.889681134819     All      0.2107875072311062         0.0892635265749675         -1.75137418030731          -0.11774014441636488       
Zeropoint     Linear_AB11_off|NB99|NB99_v7     4687.499188276468     All      -0.022277066125433627      0.043404251522005666       -0.1687517894858895        0.013863948693118057       
Zeropoint     Linear_AB11_off|NB99|NB99_r10    6439.3192809782395    All      0.7100017889992358         0.04460706005104953        0.9371932151193241         -0.17491832523675535       
Zeropoint     Linear_AB11_off|NB99|NB99_r7     5592.472920137984     All      0.004967696913580628       0.0723938340815522         -0.7315837310771649        -0.010684310745798054      
Zeropoint     Linear_AB11_off|NB99|NB99_v10    4736.386631611044     All      0.25075577527904536        0.25874483327967823        1.2571138913664492         0.05870151827942556        
Zeropoint     Linear_AB11_off|NB99|NB99_b4     3724.404355728598     All      -0.1638282277748174        0.06833553521126134        0.13409137880977162        0.08160725794235098        
Zeropoint     Linear_AB11_off|NB99|NB99_r8     5610.463477862652     All      0.04881489705866155        0.0003046447741184011      0.09754362326414424        -0.01144846120435029       
Zeropoint     Linear_AB11_off|NB99|NB99_b10    3864.645107206174     All      -0.3436082904000499        0.35983703065696204        1.4835004001429966         0.29533709311941453        
Check         All|All|All                      All                   All      0.9978557750008982         0.99574912099758           0.02186885905725755        0.0002897002239498625      
Lambda        Linear_AB11_off|NB99|NB99_r4     5703.2752295993405    All      1.9774970110319844e-06     -7.149621996952282e-07     -4.5901770549079736e-05    -2.925407744609491e-06     
Lambda        Linear_AB11_off|NB99|NB99_i1     6962.635841826199     All      -0.00011982130210489662    6.5368450344502034e-06     -0.00030521031782470323    2.75388708786197e-05       
Lambda        Linear_AB11_off|NB99|NB99_v8     4711.216813824965     All      5.47047343331542e-07       1.4223838686768367e-07     2.3404591141788315e-06     -2.7415654013471815e-08    
Lambda        Linear_AB11_off|NB99|NB99_i10    6917.591173060546     All      -0.0003229709928685347     4.117039280233816e-06      -0.000860030640400456      6.816411544426906e-05      
