#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|NB99|NB99_r4     5703.2752295993405    All      0.01982304472507676        -0.00555733174003592       -0.32975593101909756       -0.02298271629144269       
Zeropoint     Linear_AB11_off|NB99|NB99_i1     6962.635841826199     All      0.1584904306675075         -0.009108001981417146      0.3892027773931786         -0.03722399092705511       
Zeropoint     Linear_AB11_off|NB99|NB99_v8     4711.216813824965     All      0.008630819405284687       0.002090137134658221       0.03698881854584113        -0.0004798743093961666     
Zeropoint     Linear_AB11_off|NB99|NB99_i10    6917.591173060546     All      0.5395569157121234         -0.017129130746162957      1.3846662943254462         -0.11953966258491863       
Zeropoint     Linear_AB11_off|NB99|NB99_v4     4798.617663746003     All      0.11942286138955957        0.03207421499062946        0.45368573850035065        -0.008206417011199368      
Zeropoint     Linear_AB11_off|NB99|NB99_i4     7039.911953938491     All      0.029232918827768815       0.0036111766554824953      0.08856380235515854        -0.004393648615514528      
Zeropoint     Linear_AB11_off|NB99|NB99_v12    4757.415273935377     All      -0.04973189688724792       -0.004376808340467164      -0.4841556205217784        -0.006831997219772928      
Zeropoint     Linear_AB11_off|NB99|NB99_b1     3726.27894654445      All      -0.2576849463879669        0.06226145118173321        -0.37295778665906165       0.08757367452684323        
Zeropoint     Linear_AB11_off|NB99|NB99_v1     4813.100584622447     All      -0.013950642655980589      -0.005195497235455093      -0.8669744015492211        -0.035837246772546516      
Zeropoint     Linear_AB11_off|NB99|NB99_b12    3868.4011229869266    All      -0.09838299553562538       0.0036850517492581503      -0.5773813805635533        0.007481041741914246       
Zeropoint     Linear_AB11_off|NB99|NB99_r12    5725.0834605856535    All      -0.03207839805084176       -0.013877180566090885      -0.5826297589497903        -0.02007135488318254       
Zeropoint     Linear_AB11_off|NB99|NB99_r1     5728.889681134819     All      0.20413258694549297        0.09206774893719682        -1.472505621931222         -0.10221436749605003       
Zeropoint     Linear_AB11_off|NB99|NB99_v7     4687.499188276468     All      -0.03051755037364928       0.051892280521670386       -0.20484896216736714       0.017702124781234646       
Zeropoint     Linear_AB11_off|NB99|NB99_r10    6439.3192809782395    All      0.6765682466762831         0.035620819300596906       0.8545929233238172         -0.17064110647567535       
Zeropoint     Linear_AB11_off|NB99|NB99_r7     5592.472920137984     All      0.0015163555250487307      0.08990531354573505        -0.814910259712473         -0.007574510605837942      
Zeropoint     Linear_AB11_off|NB99|NB99_v10    4736.386631611044     All      0.2326322482015939         0.2871406208605265         1.173210834898887          0.07011018144628019        
Zeropoint     Linear_AB11_off|NB99|NB99_b4     3724.404355728598     All      -0.17169681957066574       0.0715448959573095         0.17832146901735624        0.08718949732356776        
Zeropoint     Linear_AB11_off|NB99|NB99_r8     5610.463477862652     All      0.04201565456415232        -0.0006768600968598548     0.08686250124769201        -0.010030082081458752      
Zeropoint     Linear_AB11_off|NB99|NB99_b10    3864.645107206174     All      -0.3775403606402371        0.3197966596399482         1.0947258710148038         0.2759981969411119         
Check         All|All|All                      All                   All      1.0004384725376771         0.9957695597682559         0.03470130754896683        2.774148690137812e-05      
Lambda        Linear_AB11_off|NB99|NB99_r4     5703.2752295993405    All      -9.773404562219302e-06     -2.2732867527403666e-06    -9.135928578495324e-05     -1.633910209465687e-06     
Lambda        Linear_AB11_off|NB99|NB99_i1     6962.635841826199     All      -0.00014334281141021647    1.1656489575136671e-05     -0.00036299970428697463    3.428936205147805e-05      
Lambda        Linear_AB11_off|NB99|NB99_v8     4711.216813824965     All      2.143432105032445e-06      1.1396238533680928e-07     4.453562180428552e-06      -4.6232302963417733e-07    
Lambda        Linear_AB11_off|NB99|NB99_i10    6917.591173060546     All      -0.00025295542528953023    2.3598045488232305e-05     -0.0005521535944989484     6.544248479850378e-05      
Lambda        Linear_AB11_off|NB99|NB99_v4     4798.617663746003     All      7.133412131276473e-06      -1.5607443708179094e-06    -6.29787273756233e-05      -5.6424241539266365e-06    
Lambda        Linear_AB11_off|NB99|NB99_i4     7039.911953938491     All      -1.239551668448922e-05     -1.7875791077208985e-06    -4.0685525199817644e-05    1.639746131724203e-06      
Lambda        Linear_AB11_off|NB99|NB99_v12    4757.415273935377     All      -6.051127579769428e-05     -7.885655043313089e-06     -0.0006365467657340635     -1.126426258996271e-05     
Lambda        Linear_AB11_off|NB99|NB99_b1     3726.27894654445      All      -0.00043179677452922295    0.00011587334334094904     -0.00045265801128907486    0.0001581941271412276      
Lambda        Linear_AB11_off|NB99|NB99_v1     4813.100584622447     All      -8.333465298868618e-05     -2.470406246041042e-05     -0.0010927800635495046     -2.966784305472521e-05     
Lambda        Linear_AB11_off|NB99|NB99_b12    3868.4011229869266    All      -0.0001560954839674415     4.340910336359345e-06      -0.0009430099090670012     1.0177210671538014e-05     
Lambda        Linear_AB11_off|NB99|NB99_r12    5725.0834605856535    All      -1.0174603919308816e-05    -3.5057603893748868e-06    -0.00016099328099325425    -5.012128979199318e-06     
Lambda        Linear_AB11_off|NB99|NB99_r1     5728.889681134819     All      1.6572375926921113e-05     -1.786356996889326e-05     5.773322226114383e-06      -1.0959283632194365e-05    
Lambda        Linear_AB11_off|NB99|NB99_v7     4687.499188276468     All      7.162761675605739e-06      -1.115439237694022e-05     2.583282561484547e-05      -4.813699330069098e-06     
Lambda        Linear_AB11_off|NB99|NB99_r10    6439.3192809782395    All      -0.00028351402415881173    -4.337448050951567e-06     -0.0004472350457343059     7.097894946001962e-05      
Lambda        Linear_AB11_off|NB99|NB99_r7     5592.472920137984     All      -5.662223472246939e-06     -3.133708391433776e-06     3.351679830217053e-05      2.3193213186353505e-06     
Lambda        Linear_AB11_off|NB99|NB99_v10    4736.386631611044     All      -3.486846646859308e-05     -6.709688746269259e-05     -0.000145141792704408      -1.6974868597590687e-05    
Lambda        Linear_AB11_off|NB99|NB99_b4     3724.404355728598     All      -0.0003184379215936641     0.00012241511409258305     0.0001863578689908348      0.00015191663313941092     
Lambda        Linear_AB11_off|NB99|NB99_r8     5610.463477862652     All      2.986328566827465e-06      -3.5593969395913507e-06    -5.464845020215345e-06     -2.376029079540169e-06     
Lambda        Linear_AB11_off|NB99|NB99_b10    3864.645107206174     All      -0.0004739549179279118     0.00031074958735156905     0.001121388134186791       0.0003056464754602838      
MWEBV         All|All|All                      All                   All      -0.682147127314658         -3.408348313236509         0.09211445680602781        -0.8839027704688681        
Redshift      All|All|All                      All                   All      8.019164431246017          -0.0871867742588961        13.173853167830204         -2.052616717104943         
