#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I    8143.836851679715     All      0.06919617737727295        -0.012466726378601578     0.03945574774611993        -0.024839565574806544     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I    7868.0261518490215    All      0.2955708870679713         -0.06847339563060828      0.03792946349232551        -0.11688858182414691      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V    5363.40657783373      All      0.434025075109725          0.3819366956355097        0.04005570705216677        -0.015179396615006002     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R    6363.207254919934     All      0.920088994438953          -0.10994141578359873      0.007116202184842546       -0.335197228183462        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B    4377.093926020908     All      -0.08820020798767182       0.04382733118379889       -0.11203936229181588       0.038005910924264474      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V    5330.309229434297     All      0.07149821756985619        0.06412849229038287       -0.04981099752674467       -0.00462339802626624      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R    6305.930518742263     All      0.3176777978597342         -0.030607113011260623     0.10472365401232864        -0.10877451800368268      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B    4351.394361067908     All      -1.0221342486749714        0.7292643547272881        -0.06662510803174815       0.5675149718572997        
Check         All|All|All                       All                   All      0.9977226927608693         0.9976682230329104        0.0008053066374746898      1.819455419382887e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I    8143.836851679715     All      2.252669197388888e-06      -1.450173254594306e-08    3.4364158992837035e-06     -5.851407008902162e-07    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I    7868.0261518490215    All      1.1132102007911205e-05     2.836448878019386e-06     6.686452550722957e-05      2.8168953244255166e-07    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V    5363.40657783373      All      9.933152722282311e-05      1.3964529424480635e-05    -0.000894762084912655      -6.773596202976424e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R    6363.207254919934     All      -0.00021048345513359512    -1.296638001838163e-05    -0.00038812536287411705    4.701755713402587e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B    4377.093926020908     All      -8.67944817878235e-05      4.388937217230444e-05     -0.00011147983130411073    3.7593197743148134e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V    5330.309229434297     All      3.4945574630359522e-06     3.6062479249873816e-05    -5.82242118008726e-05      8.01016442023398e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R    6305.930518742263     All      -4.733999420137662e-05     6.234722767689651e-06     -2.236053307729371e-05     1.6453199979634215e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B    4351.394361067908     All      -0.0005131781389621444     0.00021318926381830335    -0.0008437651287058443     0.0001989483974422629     
MWEBV         All|All|All                       All                   All      -0.8462920847089324        -4.063878939502086        0.01524663964823092        -1.0473935065672138       
Redshift      All|All|All                       All                   All      3.627698245995543          -0.4170271723191732       -0.7176008674734502        -1.3495233671526317       
