#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I    8143.836851679715     All      0.06625289108992354        -0.012148948968437878      0.03738802614180086        -0.023869602761216514      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I    7868.0261518490215    All      0.2898499227089235         -0.06870583313780543       0.027282044346905444       -0.11557593347596186       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V    5363.40657783373      All      0.42639073840694697        0.37650379923421795        0.05790719968820976        -0.013665684956170782      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R    6363.207254919934     All      0.9293472136339072         -0.1223281040563684        -0.05875631992829797       -0.3451872747623624        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B    4377.093926020908     All      -0.09787103703321526       0.051450939353170355       -0.10220196216477778       0.04407827608137169        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V    5330.309229434297     All      0.08212127323022131        0.07799166521937906        -0.04662991642733336       -0.0034260281958915038     
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R    6305.930518742263     All      0.32662487696498893        -0.032114323620913154      0.10473659921365747        -0.11217924641486353       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B    4351.394361067908     All      -1.025212583416946         0.7267492965113753         -0.019752112750412963      0.5697901760526107         
Check         All|All|All                       All                   All      0.9975032955847498         0.9973984905346178         -2.6441880248535832e-05    -3.5318432484054973e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I    8143.836851679715     All      4.119410722904869e-06      -7.618067211042043e-07     2.2827720125145997e-06     -1.488103478271848e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I    7868.0261518490215    All      9.034970758909956e-06      4.7471003886629345e-06     7.778359694706697e-05      2.0744242382739915e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V    5363.40657783373      All      9.421055344104387e-05      -2.5307149280479405e-06    -0.0008110822966422593     -6.770669153390272e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R    6363.207254919934     All      -0.000249641773208812      -1.1944567042014519e-05    -0.00046258869692600193    5.678259110356197e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B    4377.093926020908     All      -8.22204815846246e-05      4.3440799132644265e-05     -8.605357166577613e-05     3.7091837589269557e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V    5330.309229434297     All      3.6419402754723565e-05     3.237305552293077e-05      -2.3158822071706255e-05    -2.351500278702459e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R    6305.930518742263     All      -6.184476911313944e-05     6.251363745282599e-06      -2.0528859414053663e-05    2.1265042058207388e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B    4351.394361067908     All      -0.00043702885382384193    0.00016307890002426932     -0.0007836971882406588     0.00016050203226682116     
MWEBV         All|All|All                       All                   All      -0.8488519166615194        -4.062832352093881         0.012563344476042673       -1.0463385202733368        
Redshift      All|All|All                       All                   All      3.5636561837818115         -0.1342774533248381        -1.3599493294340452        -1.265226936559972         
