#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u              3569.200836801092     All      -0.1961838167440606        0.09413591546030275        0.007895876791379123       0.09491904473119944       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6225.044405063815     All      0.5306487003778495         -0.034196026099131416      0.03425721433923805        -0.18245976811482256      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B              4367.4687098130735    All      -0.3660112938494861        0.2326398054597778         -0.1689501312841467        0.18746088968186833       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4353.974080692565     All      -0.3061787432731705        0.19874138588029666        -0.0948376456467219        0.1602369288924646        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i              7550.985085949274     All      0.1773934623365294         -0.022752883378496236      0.05781439601779706        -0.0626142584562174       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5390.116992781383     All      0.3293434874203307         0.12566265404512222        0.077598948930412          -0.06288266363900392      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r              6175.901364037963     All      0.5982140068431283         -0.03385164026976639       0.08328105079655422        -0.20216812480578725      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g              4771.050428975792     All      -0.24858898365949128       0.3311042610433912         0.042350023259335345       0.19071504817244672       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5335.214461816809     All      0.3104127881835195         0.13359055319526192        -0.04249380314730936       -0.059493122481901944     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7578.931518551701     All      0.16613217736779684        -0.028003027019085636      0.0034617437821875337      -0.06308174120153837      
Check         All|All|All                                All                   All      0.9951817850029457         0.9970709983176729         0.00037767383872534853     0.0006322327787076643     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u              3569.200836801092     All      -0.0002778428043106779     6.259045620472655e-05      -0.00038527166169448004    9.369740809878198e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6225.044405063815     All      -0.00013727128481278635    5.268128843731646e-06      -6.444027953545738e-05     4.355410272317927e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B              4367.4687098130735    All      -0.00022257114322810515    4.3748754680514325e-05     -0.000600236547826958      5.996335207046457e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4353.974080692565     All      -0.0001456053467346175     7.665469321073628e-05      -0.00014396392455803635    6.597295839768822e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i              7550.985085949274     All      -3.827418944576261e-05     2.6406337109289993e-06     -2.797507980370737e-05     1.2078904633089155e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5390.116992781383     All      8.23800698286505e-05       6.115848650417701e-07      -0.00018376189747173214    -3.483513515219415e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r              6175.901364037963     All      -6.616596274462985e-05     -8.02585633774053e-06      -0.00010620162783591293    1.4198854525527445e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_g              4771.050428975792     All      -6.851009353736948e-05     -0.00012119673459513529    -0.0011005136825881358     -6.627264350890567e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5335.214461816809     All      0.00010290571243219918     -1.1674848633860415e-05    -0.0004801221908153914     -5.874830658233493e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7578.931518551701     All      -4.273900944590805e-05     2.5641737650470675e-06     -3.611740657885239e-05     1.3144983227899787e-05    
MWEBV         All|All|All                                All                   All      -1.0092444098016373        -4.007526534532735         0.036331622527239905       -0.9750178151286207       
Redshift      All|All|All                                All                   All      5.237662562343447          0.8821666820211238         5.314331287763021          -1.1815741022471629       
