#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|MEGACAMPSF|i           5606.709003748005     All      1.575570423785559          0.4747724179996027        -1.3467067741245065       -0.4186634637918612       
Zeropoint     AB|MEGACAMPSF|g           3597.1638087616852    All      -0.6804896480185568        0.33954933170097235       -0.4584327648109565       0.3118025051923219        
Zeropoint     AB|MEGACAMPSF|z           6457.911460063204     All      0.37263362853211834        -0.08861185080544232      0.41865059407526495       -0.13156037392483694      
Zeropoint     AB|MEGACAMPSF|r           4585.296378603906     All      -0.297459362598412         0.2919123666250911        1.306911283712009         0.25029921012770306       
Check         All|All|All               All                   All      0.9702550417007086         1.0176222655202238        -0.0795776611481891       0.011877877603326814      
Lambda        AB|MEGACAMPSF|i           5606.709003748005     All      -0.0005345563835954181     -8.10117532701228e-06     -0.0020858411437785396    7.840227086994979e-05     
Lambda        AB|MEGACAMPSF|g           3597.1638087616852    All      -0.0014578363017263539     0.0006987402496246155     -0.0009647536252853591    0.0006594154086927932     
Lambda        AB|MEGACAMPSF|z           6457.911460063204     All      -8.410684002793931e-05     1.9187061017235045e-05    -9.806684422530108e-05    2.9269948985768115e-05    
Lambda        AB|MEGACAMPSF|r           4585.296378603906     All      -0.00038668829789556883    -8.592030547081146e-05    -0.00238172285437774      -8.31532202768505e-06     
MWEBV         All|All|All               All                   All      -0.4545502865238329        -2.6619312556690033       -0.09186971800543287      -0.7231163258996465       
Redshift      All|All|All               All                   All      6.594394278521206          -0.1281517252088804       13.155643857394983        -1.6026784349403824       
