#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|MEGACAMPSF|i           5606.709003748005     All      1.57966415599604           0.47046485097403945       -1.4777459655837615       -0.42724772062116484      
Zeropoint     AB|MEGACAMPSF|g           3597.1638087616852    All      -0.6994195092510715        0.35038401746714243       -0.4556634448363796       0.32162137940574265       
Zeropoint     AB|MEGACAMPSF|z           6457.911460063204     All      0.46161549307899036        -0.14106967101774615      0.8101895662486348        -0.16015934642367216      
Zeropoint     AB|MEGACAMPSF|r           4585.296378603906     All      -0.3514641859733527        0.3155542350993912        1.123480609788911         0.26740562365271164       
Check         All|All|All               All                   All      0.9903959538506064         0.9953334325228269        0.0002607656174047346     0.0016199360136172625     
Lambda        AB|MEGACAMPSF|i           5606.709003748005     All      -0.0006320204400606841     0.00011091595229639402    -0.002828893986650834     0.00011575827888791985    
Lambda        AB|MEGACAMPSF|g           3597.1638087616852    All      -0.0015162327132468803     0.0007625578729470311     -0.0010824265624175538    0.0006939733378315006     
Lambda        AB|MEGACAMPSF|z           6457.911460063204     All      -0.00014989036757639656    4.5776952047595745e-05    -0.0002666980099580788    5.1833775980369875e-05    
Lambda        AB|MEGACAMPSF|r           4585.296378603906     All      -0.0004365681698489547     -9.13430039394437e-05     -0.002858899571370836     -1.512836331214773e-05    
MWEBV         All|All|All               All                   All      -0.4392114215901577        -2.679225199229762        -0.08373511536341942      -0.73338289525876         
Redshift      All|All|All               All                   All      7.367416538436844          -0.3983290614787194       17.7709343569258          -1.7365236459337878       
