#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I    7761.116281534229    All      0.4498949106304459         -0.09327807428034518      0.22892415223227935        -0.16671347754233512      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V    5298.888143662163    All      0.3568794251874014         0.40605702820126766       -0.3749491796316118        -0.0007134966109656471    
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R    6263.901492966536    All      1.3911922574274649         -0.10390590728635019      0.19824844620948134        -0.4781557418837512       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B    4381.391721945671    All      -1.1995075341376067        0.789037874886489         -0.04943264645436152       0.645528708944576         
Check         All|All|All                       All                  All      0.9984590591077053         0.9979109215210613        0.0027907723557873965      -5.400709247593838e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I    7761.116281534229    All      -8.563346231575268e-05     1.965919746168063e-05     -2.3837696992441467e-05    3.323351638093447e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V    5298.888143662163    All      2.5160851653680178e-05     1.7806495189226126e-05    -0.0012942237598211294     -6.015081809770319e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R    6263.901492966536    All      -0.00041310706643688834    3.233562282273287e-05     -0.00024338982351757547    0.00013423396854648644    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B    4381.391721945671    All      -0.00044001206921894355    4.2910403458000753e-05    -0.001011144070742819      0.00011218102116781045    
MWEBV         All|All|All                       All                  All      -0.8311897443649814        -4.0337512559107225       0.04297566617674775        -1.0412618388532662       
Redshift      All|All|All                       All                  All      5.351260543991317          0.36333624570534795       6.283027488776827          -1.3443483818643465       
