#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I    7761.116281534229    All      0.42031707278230035       -0.09619316899449615      0.18397509045718702       -0.16003441510884753       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V    5298.888143662163    All      0.3717301346841891        0.4563798205669656        -0.21522725309544977      0.01796858378133547        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R    6263.901492966536    All      1.3506440538585842        -0.14938491531948372      0.037253683224714014      -0.48694632396621573       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B    4381.391721945671    All      -1.1441423335371392       0.7870932767060523        -0.004277276301082245     0.6288760988240858         
Check         All|All|All                       All                  All      0.9985489277879345        0.997895012959038         0.0017242442853690207     -0.00013605646964198748    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I    7761.116281534229    All      -6.692595526921871e-05    1.5897056418905237e-05    9.152176926422372e-06     2.7386599324769973e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V    5298.888143662163    All      3.624000066828256e-05     0.00010278833945861257    -0.0013287865687652942    -3.7620658348702054e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R    6263.901492966536    All      -0.0004003870025089595    1.9265504253517843e-05    -0.0006582254677840102    0.00010732104810295373     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B    4381.391721945671    All      -0.0005281525086810812    0.00019478115713713202    -0.0006130081797445191    0.0002081275391508841      
MWEBV         All|All|All                       All                  All      -0.8223910022241601       -4.039021417603905        0.027467542457620623      -1.0465366000205378        
Redshift      All|All|All                       All                  All      4.665213232700957         -0.5293166691265228       4.294990058193934         -1.5003636038615344        
