#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_g                4501.779970039339    All      -0.7905458970900382        0.8239150897678016         -0.3023908285053065        0.5123887437630661        
Zeropoint     AB|PS|PS_i                6924.470609131298    All      1.4045153246397841         -0.5555439097372883        -1.456139644639945         -0.7034366012028485       
Zeropoint     AB|PS|PS_r                5716.954954489499    All      0.11613215622236606        0.681525744582423          0.9222745272573522         0.22532416892322937       
Zeropoint     AB|PS|PS_z                7957.906347981734    All      0.26608341997910623        0.04857679635801304        0.8308038900188387         -0.033774101201469786     
Check         All|All|All               All                  All      0.9961850037512179         0.9984737209709493         -0.0054520558690607235     0.0005022102819772223     
Lambda        AB|PS|PS_g                4501.779970039339    All      -0.00034437028344876303    0.0002962449546468456      -0.00034223376443121446    0.00019339713757932648    
Lambda        AB|PS|PS_i                6924.470609131298    All      -0.00104890353400578       0.0001064660352625537      -0.0011460951200509256     0.00032519691785711955    
Lambda        AB|PS|PS_r                5716.954954489499    All      -6.305151923269111e-05     -0.00013485455027822737    -0.00040469648869080187    -4.144835504761437e-05    
Lambda        AB|PS|PS_z                7957.906347981734    All      -0.00018283684878088075    -2.77831070988341e-05      -0.0005202831500774887     2.7288257368544205e-05    
MWEBV         All|All|All               All                  All      -0.6210827920976039        -3.7375463497426153        0.096590870781217          -1.0108243023934804       
Redshift      All|All|All               All                  All      4.038060609035611          4.027426868397477          13.077573542417706         0.5801282849098018        
