#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4299.8307377404235    All      -0.4734508680671759        0.3568456586840796        0.07499670780673397       0.27380165332924367       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5323.088814045439     All      -0.9691618260745141        1.3429879689691226        -0.009867038941478532     0.7527029350842521        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7484.684589007631     All      0.8222098098672649         -0.2885894662847832       0.5762556606007607        -0.33610822496734327      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6147.6335827049315    All      1.609224762257011          -0.4065024209969792       -0.6390197787253323       -0.685105176853212        
Check         All|All|All                                All                   All      0.9888218779825863         1.0047417403714398        0.002365550740683786      0.005291186592940478      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4299.8307377404235    All      -5.0189887441747086e-05    3.788553771795341e-05     7.772575877400041e-06     2.9035917933193583e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5323.088814045439     All      -0.00040599193950357316    0.00026658842677231524    -0.0011834704173316704    0.00016626870329037447    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7484.684589007631     All      -0.0002467189597772287     6.708555776134846e-05     -0.0003777101337585138    8.536098671454748e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6147.6335827049315    All      -0.000355158535603998      3.3708715212996876e-05    -0.00055553810176765      0.00010187574295596964    
MWEBV         All|All|All                                All                   All      -0.8079588621888898        -4.031611400505675        0.09254827164885278       -1.0459196824432873       
Redshift      All|All|All                                All                   All      7.080741470464291          -0.9510563686130347       2.708869768021461         -2.4953363781297675       
