#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            7280.222703719733    All      0.10254170496094467        0.006509186937009304       0.09857529902964085        -0.02688198764067576      
Zeropoint     AB|SDSS|SDSS_g            3864.316328305423    All      -1.1009276330809523        0.5544377260880751         -0.30992353600755185       0.5253764933993462        
Zeropoint     AB|SDSS|SDSS_i            6123.40886697436     All      1.1018498775047703         0.0983009621528197         -0.09684624127590458       -0.3312107004582246       
Zeropoint     AB|SDSS|SDSS_r            5049.506229418037    All      0.8950884821596612         0.33957781584490476        0.3124839426975825         -0.16700337660103828      
Check         All|All|All               All                  All      0.9985524315444235         0.9988256910228088         0.004289464443766933       0.0002804286994076144     
Lambda        AB|SDSS|SDSS_z            7280.222703719733    All      -2.8264120057920117e-05    -1.8312700746918739e-06    -2.4584263193319366e-05    7.512966099590714e-06     
Lambda        AB|SDSS|SDSS_g            3864.316328305423    All      -0.0011807476247773212     0.00048408237749571437     -0.0023501260640314283     0.0004374145705214104     
Lambda        AB|SDSS|SDSS_i            6123.40886697436     All      -0.00023211224916676548    -2.741945754678743e-05     -7.124017609980668e-05     6.349605455840539e-05     
Lambda        AB|SDSS|SDSS_r            5049.506229418037    All      -0.000142529646852289      -5.0194766085595135e-05    -0.0002769732943628137     1.7716462357976678e-05    
MWEBV         All|All|All               All                  All      -0.5669852155182578        -3.133095484773385         0.15084688720329           -0.8291349334554647       
Redshift      All|All|All               All                  All      5.5379570192867345         0.8052298177346984         -1.791855514737733         -1.6215672335736502       
