#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            7280.222703719733    All      0.26470261012759294        0.010008599712563182      0.11081923578617481        -0.07801686485743448       
Zeropoint     AB|SDSS|SDSS_g            3864.316328305423    All      -1.1785725160808471        0.5908765139610139        -0.29824349413409834       0.5630585248682377         
Zeropoint     AB|SDSS|SDSS_i            6123.40886697436     All      1.0517808960688404         0.07742836548594312       -0.36665567107936337       -0.33374083306865476       
Zeropoint     AB|SDSS|SDSS_r            5049.506229418037    All      0.8593472758262123         0.3213975236519673        0.5561143120246914         -0.1504111046993037        
Check         All|All|All               All                  All      0.9972582659417984         0.9997110028114875        0.002034382597404516       0.0008897222428447815      
Lambda        AB|SDSS|SDSS_z            7280.222703719733    All      -1.1054240371736627e-05    2.54671062165268e-07      -2.6791809977230274e-05    2.4880890772056507e-06     
Lambda        AB|SDSS|SDSS_g            3864.316328305423    All      -0.0012877059562066578     0.0005055158123521838     -0.0022747097367183554     0.0004826014770776635      
Lambda        AB|SDSS|SDSS_i            6123.40886697436     All      -3.131329581059336e-05     -7.46948617667966e-06     0.0004903256324377038      2.964769422732219e-05      
Lambda        AB|SDSS|SDSS_r            5049.506229418037    All      -0.00017778846931854202    -9.142805238718601e-05    -0.0006983824657916955     -3.0351729257675128e-06    
MWEBV         All|All|All               All                  All      -0.5864545361103604        -3.1330758452257967       0.13334770083623937        -0.8235676462869289        
Redshift      All|All|All               All                  All      5.609574095598256          1.0563931468832166        -0.6817675653050026        -1.5135449853947311        
