#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            3639.460452305421     All      -0.7783299856497434        0.4813186766685629        2.467095212783965         0.5204041389152149        
Zeropoint     AB|SDSS|SDSS_z            6856.602918370053     All      0.14461472444216034        0.026148372972256695      0.06961221485577429       -0.03548191466927119      
Zeropoint     AB|SDSS|SDSS_i            5767.101477021764     All      0.78948848736109           0.15214352910950524       -0.5612997660901287       -0.232652451532877        
Zeropoint     AB|SDSS|SDSS_r            4755.6868186553675    All      0.795018011201567          0.3232545151405253        -2.152630362238561        -0.24973089761815134      
Check         All|All|All               All                   All      0.9507912373550739         0.9828650938908501        -0.1772227006889504       0.0025388750949153216     
Lambda        AB|SDSS|SDSS_g            3639.460452305421     All      -0.0004985466321294476     0.0007944798618918814     0.0076020357796524095     0.0007604252103692865     
Lambda        AB|SDSS|SDSS_z            6856.602918370053     All      -0.00010449519036120235    -2.353652574582015e-05    -0.0005068209153945465    3.7538108163939226e-06    
Lambda        AB|SDSS|SDSS_i            5767.101477021764     All      0.0001945485827508287      5.0640318758870126e-05    0.0013689186534606565     1.421289626454442e-05     
Lambda        AB|SDSS|SDSS_r            4755.6868186553675    All      0.0005839568879262466      0.00014476962162076346    0.004600459537819992      6.223963855891069e-05     
MWEBV         All|All|All               All                   All      -0.48549760703678535       -2.8169546776659615       0.7471269013461068        -0.7260914283859151       
Redshift      All|All|All               All                   All      -0.16421612923717177       -1.054911391595681        -31.046211261820744       -1.6755785684781601       
