#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            3639.460452305421     All      -1.15475170368786          0.3814015210139132         -0.6515036294660967       0.47130202849020136       
Zeropoint     AB|SDSS|SDSS_z            6856.602918370053     All      0.2040971266127321         0.02054771460038296        0.6882155935841994        -0.02907618100694262      
Zeropoint     AB|SDSS|SDSS_i            5767.101477021764     All      0.8561850760110651         0.18992310736027918        -1.6009847427691195       -0.2884680385700832       
Zeropoint     AB|SDSS|SDSS_r            4755.6868186553675    All      1.092718329058533          0.4072624688888027         1.557837482267038         -0.15375639254043844      
Check         All|All|All               All                   All      0.9982488279944699         0.999134811863378          -0.0064352963839788835    1.416372737150784e-06     
Lambda        AB|SDSS|SDSS_g            3639.460452305421     All      -0.0017977441628167622     0.0005133387312629299      -0.003101209218133138     0.0006144030069040561     
Lambda        AB|SDSS|SDSS_z            6856.602918370053     All      -8.292206652360163e-05     -1.0008177451366203e-05    -0.0002599953676983572    1.2148053321680938e-05    
Lambda        AB|SDSS|SDSS_i            5767.101477021764     All      -9.165661164820477e-05     -2.1484492453200335e-05    0.00017316775762835657    3.058504950817241e-05     
Lambda        AB|SDSS|SDSS_r            4755.6868186553675    All      -0.00012550317623406085    -4.1742279973322786e-05    -0.0005049143300610079    4.751672000775238e-06     
MWEBV         All|All|All               All                   All      -0.5980128630825035        -2.8493128758620756        0.14240724590938128       -0.7269674984006472       
Redshift      All|All|All               All                   All      4.763568966739331          -0.8446736331629623        3.9953116513775635        -1.6484967112910642       
