#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  SWOPE
@BAND  SWOPE_B
@MAGSYS  Linear_AB11_off
53295.03  15.971  0.007
53298.18  15.532  0.006
53299.02  15.432  0.006
53300.05  15.365  0.005
53301.04  15.309  0.005
53302.05  15.267  0.005
53303.05  15.243  0.006
53304.07  15.246  0.006
53305.05  15.257  0.007
53307.08  15.325  0.006
53308.06  15.354  0.005
53309.05  15.41  0.008
53310.05  15.446  0.004
53311.06  15.509  0.006
53314.07  15.728  0.004
53315.06  15.815  0.007
53328.04  17.201  0.009
53330.08  17.418  0.013
53331.03  17.494  0.011
53335.04  17.789  0.01
53337.03  17.905  0.014
53338.05  17.992  0.011
53339.04  18.058  0.011
53340.06  18.088  0.012
53342.02  18.221  0.02
53344.04  18.259  0.012
53346.04  18.308  0.012
53348.04  18.372  0.014
53351.04  18.415  0.021
53352.05  18.456  0.022
