#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I           7864.338717766351     All      0.12443704128821682        -0.0180706978849976        0.025670657599236035       -0.0452738954664883        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R           6360.2250702075235    All      0.4347280414833275         -0.03045474230649603       -0.009830444672692673      -0.15196402433549916       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3557.7813617867155    All      -0.2079064328936617        0.08513538164391932        -0.049506057673165405      0.09324413180337374        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B           4349.355033851084     All      -0.21267502901144583       0.14640596883230828        -0.01867572610791124       0.11613108252995774        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4755.785697833666     All      -0.25629860305022767       0.36660588402277483        0.09737417346134536        0.2072458465267775         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V           5360.892960335181     All      0.2357553314132635         0.08120007596588152        -0.004478592014298122      -0.050543590408254346      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7526.826096453966     All      0.21210379411623437        -0.029418335044262278      0.03738880559762403        -0.07700321263635901       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6156.141884383382     All      0.6713586303817467         -0.03626444621902536       -0.011039068662482832      -0.2309887390904014        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4353.495217681854     All      -0.39628015902529157       0.27189379117071866        -0.05938237968859672       0.2149962749767663         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5318.766447326501     All      0.3889834103305981         0.16003229351024828        -0.008071969266887358      -0.07493712593156787       
Check         All|All|All                              All                   All      0.9942060250327601         0.9970651736910696         -0.0005506014278289229     0.0009067479683051716      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I           7864.338717766351     All      -2.6897777182275994e-06    1.0985046820140711e-06     8.778786025708971e-06      1.625725109369316e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R           6360.2250702075235    All      -9.95464077967091e-05      -9.877520286775058e-07     -0.00010461510905605451    2.7435304829756398e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3557.7813617867155    All      -0.00025423239507745313    7.359825207175383e-05      -0.00018544858196614352    9.850950860581281e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B           4349.355033851084     All      -7.91687968594549e-05      3.839865170203697e-05      -7.874653472471379e-05     3.478148967563716e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4755.785697833666     All      -7.673082974902137e-05     -5.4689210889460745e-05    -0.0005026590639281114     -1.5251684983254283e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V           5360.892960335181     All      7.154278099086824e-05      1.6368115828630514e-05     -0.00021032641959466654    -2.7358105748113043e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7526.826096453966     All      -5.4827009173594104e-05    -1.1705698187590402e-07    -0.00010281310366015035    1.323275471996013e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6156.141884383382     All      -0.00018766582578867675    -1.840277674676073e-05     -0.0004761853441273285     3.388457879363909e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4353.495217681854     All      -0.0001954228206169295     5.853912337375844e-05      -0.0003746649277684839     6.600418530501813e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5318.766447326501     All      2.2207645930253782e-05     4.56440250176109e-06       -0.0007571274820016035     -3.9534106991111525e-05    
MWEBV         All|All|All                              All                   All      -1.0182701780697156        -3.992501350255395         -0.015081560838953179      -0.969477962873165         
Redshift      All|All|All                              All                   All      4.343348100292351          0.9051376256456578         1.7510053616332455         -1.0417989381442796        
