#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I           7864.338717766351     All      0.1259984006086323         -0.018301453366120768      0.031906661452258026       -0.045579362005144536      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R           6360.2250702075235    All      0.44045918582111643        -0.03286632992089977       -0.00860780770419931       -0.15456181934771712       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3557.7813617867155    All      -0.22273949482687366       0.09188411367579974        -0.055407622287652857      0.10001067239389738        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B           4349.355033851084     All      -0.20466343352621233       0.14184295892967214        -0.017891075965774952      0.11207013519497501        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4755.785697833666     All      -0.2557048661227885        0.3689263826348821         0.08789072156159243        0.20738510671387908        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V           5360.892960335181     All      0.233088911742692          0.08020734263762819        0.004126489940664394       -0.049614410417978115      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7526.826096453966     All      0.21486579038889245        -0.029892735403613813      0.047543198457902267       -0.07760426957777644       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6156.141884383382     All      0.6736870114003389         -0.039270455022144546      -0.009500498979401315      -0.2326576660529842        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4353.495217681854     All      -0.4007526922335617        0.2728965653590265         -0.07822085335031567       0.21593908817055213        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5318.766447326501     All      0.390443266645467          0.16171713208805727        -0.001920430158236449      -0.07458932686940983       
Check         All|All|All                              All                   All      0.9946820798977031         0.997143521612287          -8.121703316344916e-05     0.0007981482022933195      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I           7864.338717766351     All      -1.971799007627729e-06     1.0347102014095206e-06     9.180708309554301e-06      1.3890118069857293e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R           6360.2250702075235    All      -8.762715452081833e-05     6.420512692393763e-08      -9.400454063691828e-05     2.436896989592328e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3557.7813617867155    All      -0.00030510942315802936    9.523269700409325e-05      -0.0001759376681443436     0.00012255330932454318     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B           4349.355033851084     All      -8.204037927642908e-05     4.5530946235333875e-05     -6.195036292987035e-05     3.8789617521293395e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4755.785697833666     All      -7.374933729749736e-05     -3.325055642601207e-05     -0.00044747579920888345    -6.777004436524997e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V           5360.892960335181     All      7.433974512089797e-05      2.3681494042008142e-05     -0.00017516042467505917    -2.431766425386741e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7526.826096453966     All      -4.8088584088408185e-05    -1.0549395305879e-06       -0.00010080722387204826    1.0821841982850056e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6156.141884383382     All      -0.00014692093533355012    -1.8401454958420854e-05    -0.00043127623614006813    2.261714528467098e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4353.495217681854     All      -0.00021690460162671125    7.646077849198969e-05      -0.00037417338799533876    7.886111594897053e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5318.766447326501     All      4.8368860783469495e-05     1.3317504860542992e-05     -0.0007470335185272005     -4.4754054710473286e-05    
MWEBV         All|All|All                              All                   All      -1.0073252678809452        -3.997291801684355         -0.018823575576311206      -0.9747704767613565        
Redshift      All|All|All                              All                   All      4.294309838736056          0.5796484792252699         1.652594517253969          -1.1362397103084667        
