#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    3976.595585919725    All      -2.899516140143659         0.40850267752894354       -0.4584115250088474       1.0570737585493128        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    4761.977146013141    All      3.8920711697463104         0.5935106010788616        0.4634720649040129        -1.0537670670278825       
Check         All|All|All                            All                  All      0.9925550296026515         1.002013278607805         0.005060539895165472      0.0033066915214303716     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    3976.595585919725    All      -0.0015557726852335003     0.0001474810726030765     -0.0018950960587886144    0.0004702363510692302     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    4761.977146013141    All      -0.00043763015119550636    -9.765979525745594e-05    -0.0013866183267410388    4.8861122206686657e-05    
MWEBV         All|All|All                            All                  All      -0.09186394906790896       -1.9976727390961457       0.016571154069275753      -0.6200451276614808       
Redshift      All|All|All                            All                  All      1.643850211156359          -0.4935131937847004       -1.4961047063537904       -0.7629738598408888       
