#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    3976.595585919725    All      -3.242175148977725        0.4328137645762453        -1.4985090443468296       1.1301932164424933         
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    4761.977146013141    All      4.229109403941465         0.5699268161819759        1.5042892951286246        -1.1247866300738985        
Check         All|All|All                            All                  All      0.9869342549637411        1.0027405807582213        0.005780250781795004      0.005406586368594812       
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    3976.595585919725    All      -0.0030194694780083012    0.00039190298237733537    -0.0011312329630299505    0.0010607145095930077      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    4761.977146013141    All      0.0007550197134568009     4.284082789949746e-05     -0.002097622476754904     -0.00032558735012140893    
MWEBV         All|All|All                            All                  All      -0.0640357343831488       -2.001396252102161        -0.0003637017143010013    -0.6310782882260169        
Redshift      All|All|All                            All                  All      1.6476862588529988        -1.4443061486579367       -2.9784799932567885       -1.1400795330902658        
