#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I    7914.856938738589     All      0.3864854783076405        -0.11004552378133248       0.19275556127291188       -0.15313468735979938       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R    6401.081303269313     All      1.1596627639982582        -0.18829127117032662       0.1332196419844369        -0.4331279948588655        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V    5395.3297750373395    All      0.6116369677776691        0.5262282161221155         -0.3399407644406769       -0.04299043530421056       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B    4377.294023583359     All      -1.1604976387882133       0.7690434178940553         0.012094172036451594      0.6290547095280985         
Check         All|All|All                       All                   All      0.9972875712953545        0.9969348390645116         -0.001871389146876552     -0.00019840799477688353    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I    7914.856938738589     All      4.7481364175675186e-05    -1.2071874324068173e-05    0.00015246000758278736    -1.2594859107785503e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R    6401.081303269313     All      -0.0003950947999892244    3.277232343526481e-05      -0.000865821125948495     0.00010073277823112228     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V    5395.3297750373395    All      -5.298279611804628e-05    8.630301671962048e-05      -0.0013934343567914276    -1.681260392272275e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B    4377.294023583359     All      -0.0004620721587300424    0.00023583238385452285     -0.0005838958210074991    0.00020127388114219477     
MWEBV         All|All|All                       All                   All      -0.8537946270850072       -4.101339523414715         0.03519257861925025       -1.0562617306380688        
Redshift      All|All|All                       All                   All      3.631806616391            -0.7736414289723825        1.3524876094758151        -1.3746440530505526        
