#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I    7914.856938738589     All      0.41739527294821865        -0.12300012620642953       0.2057711956772748        -0.1668419365950689        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R    6401.081303269313     All      1.2504417529342078         -0.21909635217247647       0.34779463421370505       -0.46315643003889473       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V    5395.3297750373395    All      0.5547646350309895         0.5275575721519488         -0.44825963908342037      -0.028866004375722922      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B    4377.294023583359     All      -1.255458362526929         0.8238485812492868         -0.15745676572167244      0.6702721064730771         
Check         All|All|All                       All                   All      0.9671432983864874         1.0093096750223296         -0.05215057491411301      0.011407735463390467       
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I    7914.856938738589     All      5.148698866168931e-05      -1.2429315146585007e-05    0.00015866484761551392    -1.3739159506498016e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R    6401.081303269313     All      -0.0004221215925678223     5.2145916241452504e-05     -0.0008934002388217747    0.00011461618113703311     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V    5395.3297750373395    All      -2.552423032167495e-06     8.40978738695284e-05       -0.0015084862478733886    -3.909196060487243e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B    4377.294023583359     All      -0.00047326173469838806    0.00023889846177831413     -0.0005650072283979781    0.00020676032774794112     
MWEBV         All|All|All                       All                   All      -0.8581895744108361        -4.10095424163508          0.04098050349877619       -1.0544463642491568        
Redshift      All|All|All                       All                   All      3.5512199768792625         -0.8727739180915961        1.4413125609347266        -1.3767211967826714        
