#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  LOSS
@BAND  LOSS_K3_B
@MAGSYS  Linear_AB11_off
53041.23  14.506  0.013
53043.24  14.569  0.016
53044.22  14.618  0.014
53045.24  14.685  0.014
53046.22  14.763  0.011
53047.21  14.815  0.013
53048.2  14.91  0.012
53064.16  16.419  0.159
53067.16  16.705  0.054
53071.19  16.912  0.088
53073.17  17.08  0.032
53075.15  17.231  0.051
53077.16  17.394  0.053
53079.14  17.373  0.05
53081.17  17.444  0.052
53089.15  17.671  0.057
53093.15  17.686  0.083
53097.15  17.761  0.08
53101.16  18.151  0.172
