#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4071.3921799605987    All      -2.9087386616606743       0.5304902195648609         -0.42369435135409633      1.101362460941376         
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    4875.496161107586     All      3.901269677974998         0.47145108635060495        0.42244114099148145       -1.0983531450516484       
Check         All|All|All                            All                   All      0.9925310163143242        1.0019413059154658         -0.0012532103626148872    0.0030093158897275263     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4071.3921799605987    All      -0.0010789568900989954    0.00013543966512833566     -0.001627684863438508     0.00032293281072842195    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    4875.496161107586     All      -0.0009489269148741054    -0.00012073068055443056    -0.0005423604930700234    0.0002455677025306455     
MWEBV         All|All|All                            All                   All      -0.054519461382743106     -2.0785688021112136        0.03729842847746556       -0.6576350019632111       
Redshift      All|All|All                            All                   All      4.260387249655231         0.2943658233801827         3.453140617550271         -1.1377658507070558       
