#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                    
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4071.3921799605987    All      -3.144000575756937         0.5591201420193315         -0.5957190039625471       1.1796440437242344       
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    4875.496161107586     All      4.134908589858379          0.4434778816920115         0.5961778123335426        -1.1758157484940301      
Check         All|All|All                            All                   All      0.9909080141014424         1.002598023711343          0.00045880837099554483    0.003828295230204226     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4071.3921799605987    All      -0.0021475612724828706     0.0003543021206827756      -0.0015131645003563566    0.0007474136340771419    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    4875.496161107586     All      -0.00015955630561301204    -3.0465644186300467e-05    -0.000922161753252552     8.972316713719708e-07    
MWEBV         All|All|All                            All                   All      -0.03669644780063974       -2.0821398880556785        0.026663733997323025      -0.665078341595246       
Redshift      All|All|All                            All                   All      4.809217518642894          -0.5180603054620647        4.836972353637559         -1.5194177888132292      
