#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  LOSS
@BAND  LOSS_K4_V
@MAGSYS  Linear_AB11_off
54989.37  17.705  0.133
54991.38  16.961  0.046
54993.39  16.867  0.048
54996.36  16.763  0.045
54998.41  16.787  0.048
55001.36  16.829  0.044
55005.32  16.869  0.065
55007.35  17.19  0.085
55009.32  17.357  0.112
55014.35  18.222  0.262
55022.28  18.78  0.263
55026.32  18.828  0.217
55028.23  18.909  0.18
55030.32  18.867  0.155
55032.24  19.235  0.226
55034.22  19.173  0.24
55038.22  19.221  0.209
55046.21  19.208  0.238
55050.19  19.624  0.4
55055.2  19.665  0.333
55059.2  19.666  0.235
55063.17  20.023  0.386
