#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6123.523145465335    All      0.6330056201355251         -0.06520422149431937       0.8637649779579828         -0.1888840520031273        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V             5260.801910414657    All      0.07234843043088521        0.25375278188395356        -0.5822208787628678        0.03310752151874771        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_B             4225.953881240771    All      -0.31180298277655544       0.14949216519246633        -0.3453387288007537        0.13484812447013633        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R             6218.879139817627    All      0.3140065261914445         0.01458924729673683        -0.5282970381426579        -0.12110552870366509       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_R             6216.590739807033    All      0.369675702383492          -0.029444895475627675      -0.19362105131087887       -0.13864712765104564       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7455.330364229315    All      0.16475786429692446        -0.037960162165262545      0.2079171721884476         -0.056753541977970584      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B             4349.900076425601    All      -0.36689350522604797       0.33749795810242844        0.19681700495970453        0.23822651238044168        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_I             8032.974488411316    All      0.10314708441362341        -0.027322129498497105      -0.06579098108960495       -0.04543406459980339       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_V             5216.141037158351    All      0.017746062188311075       0.07274387965807705        -0.6335785923009177        -0.010359104128814255      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5302.212163372422    All      0.27649089159679485        0.11012799596281653        0.7589602906630066         -0.020320956290927176      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4282.967208424878    All      -0.42202276756847995       0.2501923609855794         0.2654256041310878         0.230807308247563          
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I             7705.332562960536    All      0.1454469377244652         -0.033330613242643636      0.05631081320580871        -0.05572083698954823       
Check         All|All|All                                All                  All      0.9959058637903824         0.9951343672057078         0.0003485926983571794      -0.0002357457280128955     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6123.523145465335    All      -0.00016670671871032132    1.7437324100616088e-05     -0.00027155655408498633    4.786345110791345e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V             5260.801910414657    All      -9.052005426979193e-06     1.9422047675805213e-05     -0.0005439011041286712     -1.499687236574709e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_B             4225.953881240771    All      -0.00026149376236944254    7.381795443181246e-05      -0.0006474105764801981     8.033109701090158e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R             6218.879139817627    All      -9.08841880172587e-05      -7.166552725716944e-06     -3.345506253416398e-05     2.577664225549228e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N2_R             6216.590739807033    All      -9.143347418747877e-05     2.4076909692028182e-06     -7.218775849694526e-05     2.734574665882739e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7455.330364229315    All      -7.593323101118253e-05     1.6361358741835972e-05     -0.00013767667827938414    2.3919506458873902e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B             4349.900076425601    All      -0.00011628485767368269    2.9306442957188372e-05     -0.00019449975445936176    3.8744245690533714e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_I             8032.974488411316    All      1.6237231077717202e-06     -1.0554813194116919e-06    -1.1256330107240637e-05    -1.3750233393730878e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_N2_V             5216.141037158351    All      -6.542651774928536e-05     1.1118984183796435e-05     -0.0010675988483033225     -2.270864504380241e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5302.212163372422    All      5.8882175253779137e-05     2.2418184888111627e-05     7.97747613767339e-05       -8.317540083731257e-06     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4282.967208424878    All      -0.00019672128415898228    8.149212802179359e-05      -9.399423539816638e-05     8.642873027075802e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I             7705.332562960536    All      -2.979013276381139e-05     8.20845373433139e-06       -2.6284923270152393e-07    1.2365659984776116e-05     
MWEBV         All|All|All                                All                  All      -0.837156851846014         -3.992382797111649         0.01595997455186834        -1.0270486738605957        
Redshift      All|All|All                                All                  All      6.1877905159154            -0.28387978980193296       6.5547788334674575         -1.8155262558737104        
