#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V           5094.597137446053     All      -0.23613012748418116       0.03954088597852845        -2.7135817647041813        -0.0312995727367307        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R           6027.075388481275     All      0.13220723354223332        -7.75377175799008e-05      -1.2098662075446922        -0.09708027416724302       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4547.6109496935305    All      -0.10476888037719556       0.2598466886275297         1.2908154957818754         0.17637045339636556        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7197.354747978856     All      0.5799972248275811         -0.0414370552276111        1.7460419437412549         -0.12450375692594148       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4162.929908802812     All      -0.3182007828011835        0.2761346260386155         0.9332759075952558         0.2352424130880616         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            5886.669421214948     All      0.8716042249729354         0.009357436716328493       -0.46487758755835595       -0.3016074976391211        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3402.0467921518834    All      -0.1538518035344288        0.07524876760722776        0.355802783543111          0.09050343729220287        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5085.353857961602     All      0.3969838837670506         0.32014730102361           1.1165605043344928         0.024798764283512992       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B           4183.534055153731     All      -0.28486545668968966       0.061110163701183495       -1.4214094871315468        0.04926466470809485        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I           7783.70749736004      All      0.11527046779489675        -0.002949983151179225      0.39818926730354803        -0.020738932027846872      
Check         All|All|All                              All                   All      0.9982459840180186         0.9969212935966532         0.03095085536076153        0.0009496992713547009      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V           5094.597137446053     All      -0.0001840538956163548     -1.5992469510361174e-05    -0.0019870770607585287     -3.3930987367402223e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R           6027.075388481275     All      -2.8013814686236283e-05    -3.2369020616490605e-07    0.0001963227908175074      1.7780568997416904e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4547.6109496935305    All      -1.63097344582133e-05      5.789955975593599e-06      -3.6488162407579986e-05    5.570297128328483e-06      
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7197.354747978856     All      -0.0003379568264856504     2.7966328392362114e-05     -0.0010274399641478943     7.334328331913713e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4162.929908802812     All      -0.00016944555888314154    0.00011017086681300614     0.0001873365791788913      9.94402400793667e-05       
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            5886.669421214948     All      -0.00015666784698840398    2.1907607588690964e-05     -0.0002548932981505317     4.679318329982805e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3402.0467921518834    All      -0.00044867369292044554    0.00017611363395592678     0.0005141353849172126      0.00022645728814658974     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5085.353857961602     All      0.00011145947725884698     3.916425784890515e-05      0.0004504615354045298      -3.446901973785424e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B           4183.534055153731     All      -0.000251644687199489      1.164650910741365e-05      -0.0016311251644917158     1.2972980055875436e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I           7783.70749736004      All      -5.605921657222316e-06     5.206849914117058e-07      -1.4724732332908877e-05    1.3385401690636824e-06     
MWEBV         All|All|All                              All                   All      -0.8782481521406296        -3.768422578993569         0.5831618382483281         -0.9154010602647943        
Redshift      All|All|All                              All                   All      8.041482777544866          -0.19060110562172383       8.608474169301257          -2.2973038833786052        
