#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                   ds/dP                     dc/dP                    
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7444.276200007133    All      1.330246073530902          -0.2474926667745514      2.9550192720954604        -0.38205247557927535     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6110.265609130143    All      0.7933059147964665         -0.08173100151322998     -1.3143279414764675       -0.3436807310397305      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4287.724514066735    All      -0.3712752353230049        0.4553125399384683       0.8919019056602306        0.30904831802505695      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5302.603479663546    All      -0.770572672504257         0.8681119886466249       -2.6022876540470086       0.4176453591356488       
Check         All|All|All                                All                  All      0.9817040805001066         0.9942008602973118       -0.06969441776778496      0.0009604705416998982    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7444.276200007133    All      -0.00010023372837648486    9.866298701714466e-05    0.0005923905168989344     9.122287172924546e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6110.265609130143    All      0.0006895241800921413      0.0002344345832835716    0.004471167257443629      5.129000568768972e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4287.724514066735    All      -0.0006090684194186711     0.0004478159847166757    -0.0013990039942390466    0.0002818308980210415    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5302.603479663546    All      -0.00045611591224367426    0.0011168904299763067    0.0032241864100119484     0.0006562605473588333    
MWEBV         All|All|All                                All                  All      -0.7241770680502335        -4.04515079315253        0.09945898038472567       -1.0773120015601267      
Redshift      All|All|All                                All                  All      3.167806470277636          -7.685946421090506       -39.25731261011756        -5.287297954056758       
