#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7444.276200007133    All      0.6073131764689951         -0.05615805820493591       1.0544639646208094         -0.1690585249253681       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6110.265609130143    All      1.0800825259534792         -0.3300204601284662        -2.9309888584979524        -0.5901135047870244       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4287.724514066735    All      -1.0140310089833795        0.6225001792673268         -0.8394233535569627        0.49561243935289984       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5302.603479663546    All      0.3216640183760586         0.7581250427576514         2.6668105618194526         0.26117722193839016       
Check         All|All|All                                All                  All      0.9950287118151533         0.9944467036915761         -0.04913768561465304       -0.00238236842110251      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7444.276200007133    All      -0.00015766275757397852    1.795909703879213e-05      -0.00023722171316733958    4.661970029604077e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6110.265609130143    All      -0.00022685832832295333    -1.2138571600187533e-07    -0.0002778615018809504     6.145599897370073e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4287.724514066735    All      -0.0003548232825838822     5.992853074248998e-05      -0.0019759272548687734     4.692175225060269e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5302.603479663546    All      0.00010032167246632915     0.00010817037609704007     0.00031121394387529164     1.6444629948412336e-05    
MWEBV         All|All|All                                All                  All      -0.8302882128038989        -3.9631433117842008        0.24003413549299685        -1.0097623525790755       
Redshift      All|All|All                                All                  All      3.9816065465178823         0.25638583235352286        1.6141333091381989         -1.1413955865838523       
